instance,selector,sequence,feasible,mean,prob_catastrophic,cvar05,cvar25,wowa_balanced,violation_score
bcst_easy,governed_mean,spare|spare|standard|standard,True,388.543883072,0.03348,5567.9726130944,1234.6192460453888,1834.0380874073928,0.0
bcst_easy,governed_cvar05,standard|standard|boost|boost,True,1030.09012288,0.0,2272.850925183999,2257.163669248,1711.3693823205224,0.0
bcst_easy,governed_cvar25,spare|spare|standard|standard,True,388.543883072,0.03348,5567.9726130944,1234.6192460453888,1834.0380874073928,0.0
bcst_easy,governed_wowa_balanced,spare|standard|standard|boost,True,682.5177824640001,0.004752,2811.45974784,2254.3562828134395,1630.0464488201098,0.0
bcst_easy,governed_wowa_severe,standard|standard|boost|boost,True,1030.09012288,0.0,2272.850925183999,2257.163669248,1711.3693823205224,0.0
bcst_hard,governed_mean,standard|standard|standard|standard,True,828.34425104,0.016632,4449.974199342079,2685.279985255424,2290.038536071686,0.0
bcst_hard,governed_cvar05,standard|standard|standard|standard,True,828.34425104,0.016632,4449.974199342079,2685.279985255424,2290.038536071686,0.0
bcst_hard,governed_cvar25,standard|standard|standard|standard,True,828.34425104,0.016632,4449.974199342079,2685.279985255424,2290.038536071686,0.0
bcst_hard,governed_wowa_balanced,standard|standard|standard|standard,True,828.34425104,0.016632,4449.974199342079,2685.279985255424,2290.038536071686,0.0
bcst_hard,governed_wowa_severe,standard|standard|standard|standard,True,828.34425104,0.016632,4449.974199342079,2685.279985255424,2290.038536071686,0.0
bcst_stress_impossible,governed_mean,whole_region|whole_region,False,2914.0,0.1,10294.0,5374.0,5406.634316354596,100000.0
bcst_stress_impossible,governed_cvar05,whole_region|whole_region,False,2914.0,0.1,10294.0,5374.0,5406.634316354596,100000.0
bcst_stress_impossible,governed_cvar25,whole_region|whole_region,False,2914.0,0.1,10294.0,5374.0,5406.634316354596,100000.0
bcst_stress_impossible,governed_wowa_balanced,whole_region|whole_region,False,2914.0,0.1,10294.0,5374.0,5406.634316354596,100000.0
bcst_stress_impossible,governed_wowa_severe,whole_region|whole_region,False,2914.0,0.1,10294.0,5374.0,5406.634316354596,100000.0
bcst_stress_unobservable,governed_mean,whole_region|whole_region,False,2094.0,0.0,2094.0,2094.0,2094.0,1000000.0
bcst_stress_unobservable,governed_cvar05,whole_region|whole_region,False,2094.0,0.0,2094.0,2094.0,2094.0,1000000.0
bcst_stress_unobservable,governed_cvar25,whole_region|whole_region,False,2094.0,0.0,2094.0,2094.0,2094.0,1000000.0
bcst_stress_unobservable,governed_wowa_balanced,whole_region|whole_region,False,2094.0,0.0,2094.0,2094.0,2094.0,1000000.0
bcst_stress_unobservable,governed_wowa_severe,whole_region|whole_region,False,2094.0,0.0,2094.0,2094.0,2094.0,1000000.0
bfsp_easy,governed_mean,scheduled_heat|extra_heat|scheduled_heat|extra_heat,True,225.55511584000004,0.0,715.5539855359999,686.3791201792,421.94923180660834,0.0
bfsp_easy,governed_cvar05,scheduled_heat|scheduled_heat|extra_heat|extra_heat,True,225.55511584000007,0.0,715.5539855359999,686.3791201792,421.94923180660834,0.0
