task,planner,budget,n,score_mean,score_se,score_best,feasibility_rate,source_csv
bcst_hard_H6_A6_S120,random,100,20,1597.286910011507,4.286299785729612,1525.708913236973,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,beam,100,20,1587.8761356721163,0.0,1587.8761356721163,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,cem,100,20,1590.745519893686,4.04460853074339,1524.3566785601638,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,evolutionary,100,20,1597.6648971788165,2.5148422419334895,1583.3865334008265,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,open_loop_mcts,100,20,7977.994245720884,4298.127471045897,1585.8160370075204,0.85,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,random,500,20,1588.3436397494022,3.530853303882276,1525.708913236973,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,beam,500,20,1523.8157846894399,0.0,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,cem,500,20,1564.8537526052276,6.825174321768987,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,evolutionary,500,20,1554.0011220637157,7.448357858857338,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,open_loop_mcts,500,20,7977.994245720884,4298.127471045897,1585.8160370075204,0.85,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,random,1000,20,1568.474742330101,6.5892288906633425,1524.1763806032554,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,beam,1000,20,1523.8157846894399,0.0,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,cem,1000,20,1533.5458757627343,4.920855545535112,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,evolutionary,1000,20,1547.0390881211615,7.039070469606107,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,open_loop_mcts,1000,20,7977.994245720884,4298.127471045897,1585.8160370075204,0.85,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,random,5000,20,1536.362251033901,5.465999594575568,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,beam,5000,20,1523.8157846894399,0.0,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,cem,5000,20,1523.9480031911721,0.06631740167443938,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,evolutionary,5000,20,1523.9164510487133,0.041148634598469014,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,open_loop_mcts,5000,20,7977.994245720884,4298.127471045897,1585.8160370075204,0.85,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,random,10000,20,1527.2375713387469,2.9472338115835655,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,beam,10000,20,1523.8157846894399,0.0,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,cem,10000,20,1523.9480031911721,0.06631740167443938,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,evolutionary,10000,20,1523.8338144851305,0.012408956429770178,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,open_loop_mcts,10000,20,7977.994245720884,4298.127471045897,1585.8160370075204,0.85,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,random,100,20,1435.1182826511797,44.265149924663184,636.8228987458613,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,beam,100,20,1447.060107888922,0.0,1447.060107888922,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,cem,100,20,1373.869809609625,32.18272018688038,1095.9937576486889,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,evolutionary,100,20,1399.3488738223539,27.052456264834802,1098.5504341132867,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,open_loop_mcts,100,20,1311.7027308447425,51.97810067420396,961.3305228933987,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,random,500,20,1328.0423710999753,47.65863007079032,636.8228987458613,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,beam,500,20,798.9550770958126,0.0,798.9550770958126,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,cem,500,20,982.7036270890484,42.91522265575312,637.955436598666,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,evolutionary,500,20,937.1712567514327,58.09600296600556,636.5248624688072,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,open_loop_mcts,500,20,1311.7027308447425,51.97810067420396,961.3305228933987,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,random,1000,20,1201.2799970229933,61.992594173930705,636.8228987458613,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,beam,1000,20,798.9550770958126,0.0,798.9550770958126,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,cem,1000,20,684.6302243569063,25.48653106957765,635.7499681484676,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,evolutionary,1000,20,747.8840792369315,25.145463282133,635.3923246160026,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,open_loop_mcts,1000,20,1311.7027308447425,51.97810067420396,961.3305228933987,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,random,5000,20,882.9829962068326,48.07148274906019,635.5711463822352,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,beam,5000,20,798.9550770958126,0.0,798.9550770958126,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
