sequence,mean,worst,prob_catastrophic,prob_moderate_harm,prob_toxicity,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,viol_toxicity,viol_moderate_harm,violation_score,feasible
spare|spare|spare|spare,1056.4769912000002,8594.51584,0.12021600000000002,0.055128,0.0,8532.372,8556.5178167808,8492.39184,8518.082148019199,8107.748,8339.0438171648,80.24800000000002,4038.8600594587656,2912.007354684733,3830.1995312661925,5934.823548503222,5028.095094761985,0.0,0.0,0.0,0.0,True
spare|spare|spare|standard,548.3200621760001,8608.3804,0.055128,0.03348,0.0,8540.574,8564.884205568,8139.6864000000005,8404.280358912001,121.69040000000003,4678.327646028801,115.07,1940.9750435041283,1797.8668422137255,2532.079756743272,4521.477454794592,2397.4513043801603,0.0,0.0,0.0,0.0,True
spare|spare|spare|boost,497.491223424,10228.633080000001,0.03348,0.05641152000000001,0.05280000000000001,8204.375,9133.343027609602,2116.3450799999996,6365.0379628992005,158.439,3893.913461859456,158.439,1652.6287847437827,1584.9497594958523,2227.5100705482264,4045.5246044160576,2026.176230929728,0.0,0.0,0.0,0.0,True
spare|spare|spare|protect,2141.3479636,8596.010079999998,0.25108800000000003,0.17433600000000005,0.0,8540.214,8562.6885117696,8509.22208,8530.3202978304,8474.326,8507.694212377599,8103.4259999999995,8373.93933024,4406.4216183125745,5319.527265094482,7083.78496011414,8441.5676628,0.0010880000000000334,0.0,0.0,1088.0000000000334,False
spare|spare|standard|spare,548.3200621760001,8608.3804,0.055128,0.03348,0.0,8540.574,8564.884205568,8139.6864000000005,8404.280358912001,121.69040000000003,4678.327646028801,115.07000000000001,1940.9750435041283,1797.8668422137255,2532.079756743272,4521.477454794592,2397.4513043801603,0.0,0.0,0.0,0.0,True
spare|spare|standard|standard,388.543883072,8622.244960000002,0.03348,0.004752,0.0,8198.776,8389.570594355202,157.58096,5567.9726130944,150.06799999999998,2861.446115113472,150.06799999999998,1234.6192460453888,1280.1345347694628,1834.0380874073928,3455.6417718815405,1505.7570575567356,0.0,0.0,0.0,0.0,True
spare|spare|standard|boost,657.7988457600003,10242.49764,0.004752,0.24361152000000003,0.24000000000000002,2162.577,5410.6854163968,2153.1776400000003,2804.988757561344,2143.4370000000004,2475.2312665889285,181.01864000000003,2226.0072248576002,1280.4258815667813,1643.996169409427,2583.0391832508344,2309.334133294464,0.0,0.0,0.0,0.0,True
spare|spare|standard|protect,1498.358626304,8609.87464,0.17433600000000005,0.055128,0.0,8548.416000000001,8571.054900556803,8506.51664,8532.1585087232,8131.920639999999,8354.42786948608,95.05800000000002,5784.99012446976,3583.6527858586724,4516.236295673889,6496.789494550224,7207.340436860801,0.0,0.0,0.0,0.0,True
spare|spare|boost|spare,497.491223424,10228.633080000001,0.03348,0.05641152000000001,0.05280000000000001,8204.375,9133.343027609602,2116.3450799999996,6365.0379628992005,158.439,3893.913461859456,158.439,1652.6287847437827,1584.9497594958523,2227.5100705482264,4045.5246044160576,2026.176230929728,0.0,0.0,0.0,0.0,True
spare|spare|boost|standard,657.7988457600003,10242.49764,0.004752,0.24361152000000003,0.24000000000000002,2162.577,5410.6854163968,2153.1776400000003,2804.988757561344,2143.4370000000004,2475.2312665889285,181.01864000000003,2226.0072248576002,1280.4258815667813,1643.996169409427,2583.0391832508344,2309.334133294464,0.0,0.0,0.0,0.0,True
spare|spare|boost|boost,689.0684312320001,10262.750320000001,0.004752,0.24000000000000002,0.24000000000000002,2198.77432,5303.328188416001,2198.77432,2819.6850936832,2186.806,2504.0128980720638,187.34832,2262.5947776307203,1295.8323639036103,1637.1739487329392,2505.5484452157634,2345.409449036032,0.0,0.0,0.0,0.0,True
spare|spare|boost|protect,745.741086384,8630.12732,0.07809600000000001,0.03348,0.0,8562.217,8584.732922598401,8157.214320000001,8424.891424204801,147.29131999999998,6534.697197367041,131.631,2693.5859869753344,2291.844229411921,3116.6038791888286,5198.868339124143,3334.074733719168,0.0,0.0,0.0,0.0,True
spare|spare|protect|spare,2141.3479636,8596.010079999998,0.25108800000000003,0.17433600000000005,0.0,8540.214,8562.6885117696,8509.22208,8530.3202978304,8474.326,8507.694212377599,8103.4259999999995,8373.93933024,4406.4216183125745,5319.527265094482,7083.78496011414,8441.5676628,0.0010880000000000334,0.0,0.0,1088.0000000000334,False
spare|spare|protect|standard,1498.358626304,8609.87464,0.17433600000000005,0.055128,0.0,8548.416000000001,8571.054900556803,8506.51664,8532.1585087232,8131.920639999999,8354.42786948608,95.05800000000002,5784.99012446976,3583.6527858586724,4516.236295673889,6496.789494550224,7207.340436860801,0.0,0.0,0.0,0.0,True
spare|spare|protect|boost,745.7410863840001,8630.12732,0.07809600000000001,0.03348,0.0,8562.217,8584.732922598401,8157.214320000001,8424.891424204801,147.29131999999996,6534.697197367041,131.631,2693.5859869753344,2291.844229411921,3116.6038791888286,5198.868339124143,3334.074733719168,0.0,0.0,0.0,0.0,True
spare|spare|protect|protect,5225.499110400001,8597.50432,0.6290319999999999,0.3325200000000001,0.0,8546.90432,8569.04885620736,8526.052319999999,8542.558447641599,8490.903999999999,8519.493641165824,8475.452319999999,8495.414669071359,7002.196137084788,7443.040218572013,8144.194102156241,8500.347921102079,0.3790319999999999,0.0,0.0,379031.99999999994,False
