sequence,mean,worst,prob_catastrophic,prob_degraded,prob_rejected,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,viol_degraded,viol_rejected,violation_score,feasible
mild_heat|mild_heat|mild_heat|mild_heat,1245.58201056,10338.128288,0.12021600000000002,0.0,0.055128,10305.0104,10319.346543810561,10287.291488,10300.278860349441,10049.1736,10189.49094439936,34.17360000000002,4908.382857984001,3503.3607725778675,4609.260615612889,7152.672561122204,6126.935172480001,0.0,0.0,0.0,0.0,True
mild_heat|mild_heat|mild_heat|scheduled_heat,595.12007024,10337.696224,0.055128,0.0,0.03348,10302.0592,10317.093755514881,10060.849823999999,10222.959736965118,44.856224000000005,5650.524457084927,41.6192,2285.541245716398,2113.233829780709,3000.024136605993,5399.058095558963,2846.5217571454973,0.0,0.0,0.0,0.0,True
mild_heat|mild_heat|mild_heat|extra_heat,380.83780800000005,10338.458816,0.03348,0.0,0.004752,10080.0328,10200.31212116992,57.19881600000001,6789.747974999042,54.7128,3423.0476269255682,54.7128,1402.0467307702274,1479.0714138181634,2173.163845648922,4216.008546177153,1738.8802134627842,0.0,0.0,0.0,0.0,True
mild_heat|mild_heat|mild_heat|protect,2569.1271700800007,10343.323904,0.25108800000000003,0.0,0.12021600000000002,10313.307200000001,10326.434781716482,10299.125504,10310.00160484352,10280.6528,10297.61910514688,10049.1088,10168.394684416002,5310.929049680396,6412.806178521098,8547.454031564619,10198.21615552,0.0010880000000000334,0.0,0.0,1088.0000000000334,False
mild_heat|mild_heat|scheduled_heat|mild_heat,595.12007024,10337.696224,0.055128,0.0,0.03348,10302.0592,10317.093755514881,10060.849823999999,10222.959736965118,44.856224,5650.524457084927,41.6192,2285.541245716398,2113.233829780709,3000.024136605993,5399.058095558963,2846.5217571454973,0.0,0.0,0.0,0.0,True
mild_heat|mild_heat|scheduled_heat|scheduled_heat,379.15262752000007,10337.26416,0.03348,0.0,0.004752,10079.108,10199.384967219201,54.92416000000001,6788.8294415104,52.528,3421.7617335116806,52.528,1400.2214934046722,1477.485478339722,2171.6376470184055,4214.6708614529025,1737.1448667558402,0.0,0.0,0.0,0.0,True
mild_heat|mild_heat|scheduled_heat|extra_heat,366.11867408,10728.026751999998,0.016632,0.24000000000000002,0.24361152000000003,10071.519552,10415.1281412096,678.646752,3872.495807565618,675.6216,2274.6481195582464,675.6216,1315.2322078232985,1160.1156309207886,1659.4565436298258,3149.28267008657,1475.1348597791232,0.0,0.0,0.0,0.0,True
mild_heat|mild_heat|scheduled_heat|protect,1247.9130059840002,10342.89184,0.12021600000000002,0.0,0.055128,10310.356000000002,10324.181993420802,10292.68384,10305.3704814592,10054.332,10194.5235099648,40.14800000000001,4913.812056704001,3515.8945502614174,4634.013708304394,7186.135137214125,6132.228070880001,0.0,0.0,0.0,0.0,True
mild_heat|mild_heat|extra_heat|mild_heat,380.83780800000005,10338.458816,0.03348,0.0,0.004752,10080.0328,10200.31212116992,57.19881600000001,6789.747974999042,54.71280000000001,3423.0476269255682,54.71280000000001,1402.0467307702274,1479.0714138181634,2173.163845648922,4216.008546177153,1738.8802134627842,0.0,0.0,0.0,0.0,True
mild_heat|mild_heat|extra_heat|scheduled_heat,366.11867408,10728.026751999998,0.016632,0.24000000000000002,0.24361152000000003,10071.519552,10415.1281412096,678.646752,3872.495807565618,675.6216,2274.6481195582464,675.6216,1315.2322078232985,1160.1156309207886,1659.4565436298258,3149.28267008657,1475.1348597791232,0.0,0.0,0.0,0.0,True
mild_heat|mild_heat|extra_heat|extra_heat,256.35977712000005,10728.789344,0.004752,0.24000000000000002,0.24000000000000002,692.3693440000001,5235.640032563201,692.3693440000001,1601.0234817126402,688.7152000000001,1145.1036270297088,68.35094400000004,855.4178322432001,658.1018713461741,903.1992356780532,1640.211382594297,916.9094135148545,0.0,0.0,0.0,0.0,True
mild_heat|mild_heat|extra_heat|protect,828.024735456,10343.654432,0.07809600000000001,0.0,0.03348,10308.3296,10322.85635907584,10066.635231999999,10228.863355095038,51.390432000000004,7953.1150199255035,44.8656,3208.8443700127336,2713.9948320699305,3711.617560464511,6223.609097542118,3999.839062515917,0.0,0.0,0.0,0.0,True
mild_heat|mild_heat|protect|mild_heat,2569.1271700800007,10343.323904,0.25108800000000003,0.0,0.12021600000000002,10313.307200000001,10326.434781716482,10299.125504,10310.00160484352,10280.6528,10297.61910514688,10049.1088,10168.394684416002,5310.929049680396,6412.806178521098,8547.454031564619,10198.21615552,0.0010880000000000334,0.0,0.0,1088.0000000000334,False
mild_heat|mild_heat|protect|scheduled_heat,1247.9130059840002,10342.89184,0.12021600000000002,0.0,0.055128,10310.356000000002,10324.181993420802,10292.68384,10305.3704814592,10054.332,10194.5235099648,40.14800000000001,4913.812056704001,3515.8945502614174,4634.013708304394,7186.135137214125,6132.228070880001,0.0,0.0,0.0,0.0,True
mild_heat|mild_heat|protect|extra_heat,828.024735456,10343.654432,0.07809600000000001,0.0,0.03348,10308.3296,10322.85635907584,10066.635231999999,10228.863355095038,51.390432000000004,7953.1150199255035,44.8656,3208.8443700127336,2713.9948320699305,3711.617560464511,6223.609097542118,3999.839062515917,0.0,0.0,0.0,0.0,True
mild_heat|mild_heat|protect|protect,6382.213184800001,10348.51952,0.6290319999999999,0.0,0.25108800000000003,10320.91952,10333.63573431296,10310.959519999999,10319.724349337599,10292.132,10307.148346532862,10283.359519999998,10293.981969704957,8514.649887476458,9036.703555974264,9859.86501237097,10296.603505978877,0.3790319999999999,0.0,0.0,379031.99999999994,False
mild_heat|scheduled_heat|mild_heat|mild_heat,595.12007024,10337.696224,0.055128,0.0,0.03348,10302.0592,10317.093755514881,10060.849823999999,10222.959736965118,44.856224,5650.524457084927,41.6192,2285.541245716398,2113.233829780709,3000.024136605993,5399.058095558963,2846.5217571454973,0.0,0.0,0.0,0.0,True
mild_heat|scheduled_heat|mild_heat|scheduled_heat,379.15262752000007,10337.26416,0.03348,0.0,0.004752,10079.108,10199.384967219201,54.92416000000001,6788.8294415104,52.528,3421.7617335116806,52.528,1400.2214934046722,1477.485478339722,2171.6376470184055,4214.6708614529025,1737.1448667558402,0.0,0.0,0.0,0.0,True
mild_heat|scheduled_heat|mild_heat|extra_heat,366.11867408,10728.026751999998,0.016632,0.24000000000000002,0.24361152000000003,10071.519552,10415.1281412096,678.646752,3872.495807565618,675.6216,2274.6481195582464,675.6216,1315.2322078232985,1160.1156309207886,1659.4565436298258,3149.28267008657,1475.1348597791232,0.0,0.0,0.0,0.0,True
mild_heat|scheduled_heat|mild_heat|protect,1247.9130059840002,10342.89184,0.12021600000000002,0.0,0.055128,10310.356000000002,10324.181993420802,10292.68384,10305.3704814592,10054.332,10194.5235099648,40.14800000000001,4913.812056704001,3515.8945502614174,4634.013708304394,7186.135137214125,6132.228070880001,0.0,0.0,0.0,0.0,True
mild_heat|scheduled_heat|scheduled_heat|mild_heat,379.15262752000007,10337.26416,0.03348,0.0,0.004752,10079.108,10199.384967219201,54.92416,6788.8294415104,52.528,3421.7617335116806,52.528,1400.2214934046722,1477.485478339722,2171.6376470184055,4214.6708614529025,1737.1448667558402,0.0,0.0,0.0,0.0,True
mild_heat|scheduled_heat|scheduled_heat|scheduled_heat,250.1881128,10726.832096,0.016632,0.05280000000000001,0.05641152000000001,10070.886496000001,10414.270912460803,676.3720959999999,3870.040249308161,63.43679999999999,2061.8920314934276,63.43679999999999,862.8188925973711,1000.5012143751377,1484.713769999428,2964.500371136862,1062.6644157467138,0.0,0.0,0.0,0.0,True
mild_heat|scheduled_heat|scheduled_heat|extra_heat,255.39452176000003,10727.594688000001,0.004752,0.24000000000000002,0.24361152000000003,690.094688,5313.8427851264005,690.094688,1614.84430742528,686.5304000000001,1150.9158787506176,67.71788800000003,856.4715060735999,660.881749854491,908.416733294333,1653.4068726255618,918.7231393753087,0.0,0.0,0.0,0.0,True
mild_heat|scheduled_heat|scheduled_heat|protect,826.4870901760002,10342.459776,0.07809600000000001,0.0,0.03348,10307.4048,10321.92920512512,10066.242176,10228.16354481152,50.43577599999998,7952.406698371072,42.68079999999999,3207.502359833682,2719.3528675971925,3729.847667489566,6269.1840060106115,3998.7077497921027,0.0,0.0,0.0,0.0,True
mild_heat|scheduled_heat|extra_heat|mild_heat,366.11867408,10728.026751999998,0.016632,0.24000000000000002,0.24361152000000003,10071.519552,10415.1281412096,678.646752,3872.495807565618,675.6216,2274.6481195582464,675.6216,1315.2322078232985,1160.1156309207886,1659.4565436298258,3149.28267008657,1475.1348597791232,0.0,0.0,0.0,0.0,True
mild_heat|scheduled_heat|extra_heat|scheduled_heat,255.39452176000003,10727.594688000001,0.004752,0.24000000000000002,0.24361152000000003,690.094688,5313.8427851264005,690.094688,1614.84430742528,686.5304000000001,1150.9158787506176,67.71788800000003,856.4715060735999,660.881749854491,908.416733294333,1653.4068726255618,918.7231393753087,0.0,0.0,0.0,0.0,True
mild_heat|scheduled_heat|extra_heat|extra_heat,264.6650556800001,10728.35728,0.004752,0.24000000000000002,0.24000000000000002,703.81728,5237.710896384001,703.81728,1610.5960032768,699.624,1155.378854624256,67.60928,865.7754882560001,666.540846077038,911.3078479254317,1639.6120086244764,927.5014273121282,0.0,0.0,0.0,0.0,True
mild_heat|scheduled_heat|extra_heat|protect,384.77647817599996,10343.222368,0.03348,0.0,0.016632,10299.897568,10319.289924966402,60.19356800000003,6846.763568476161,57.7784,3452.723028107265,55.77439999999999,1414.624789636506,1493.5580482763744,2196.057233003601,4262.812438772928,1754.3373870456323,0.0,0.0,0.0,0.0,True
mild_heat|scheduled_heat|protect|mild_heat,1247.9130059840002,10342.89184,0.12021600000000002,0.0,0.055128,10310.356000000002,10324.181993420802,10292.68384,10305.3704814592,10054.332,10194.5235099648,40.14800000000001,4913.812056704001,3515.8945502614174,4634.013708304394,7186.135137214125,6132.228070880001,0.0,0.0,0.0,0.0,True
mild_heat|scheduled_heat|protect|scheduled_heat,826.4870901760002,10342.459776,0.07809600000000001,0.0,0.03348,10307.4048,10321.92920512512,10066.242176,10228.16354481152,50.43577599999999,7952.406698371072,42.6808,3207.502359833682,2719.3528675971925,3729.847667489566,6269.1840060106115,3998.7077497921027,0.0,0.0,0.0,0.0,True
mild_heat|scheduled_heat|protect|extra_heat,384.77647817599996,10343.222368,0.03348,0.0,0.016632,10299.897568,10319.289924966402,60.193568000000035,6846.763568476161,57.7784,3452.723028107265,55.77439999999999,1414.624789636506,1493.5580482763744,2196.057233003601,4262.812438772928,1754.3373870456323,0.0,0.0,0.0,0.0,True
mild_heat|scheduled_heat|protect|protect,2601.7714707200007,10348.087456000001,0.25108800000000003,0.0,0.25108800000000003,10318.6528,10331.27023132672,10304.517856,10315.093225953282,10285.811200000002,10302.651670712321,10275.083200000001,10288.033803136002,5354.43065829312,6456.026950070022,8581.632474795053,10291.271453920002,0.0010880000000000334,0.0,0.0,1088.0000000000334,False
mild_heat|extra_heat|mild_heat|mild_heat,380.83780800000005,10338.458816,0.03348,0.0,0.004752,10080.0328,10200.31212116992,57.19881600000001,6789.747974999042,54.71280000000001,3423.0476269255682,54.71280000000001,1402.0467307702274,1479.0714138181634,2173.163845648922,4216.008546177153,1738.8802134627842,0.0,0.0,0.0,0.0,True
mild_heat|extra_heat|mild_heat|scheduled_heat,366.11867408,10728.026751999998,0.016632,0.24000000000000002,0.24361152000000003,10071.519552,10415.1281412096,678.646752,3872.495807565618,675.6216,2274.6481195582464,675.6216,1315.2322078232985,1160.1156309207886,1659.4565436298258,3149.28267008657,1475.1348597791232,0.0,0.0,0.0,0.0,True
mild_heat|extra_heat|mild_heat|extra_heat,256.35977712000005,10728.789344,0.004752,0.24000000000000002,0.24000000000000002,692.3693440000001,5235.640032563201,692.3693440000001,1601.0234817126402,688.7152000000001,1145.1036270297088,68.35094400000001,855.4178322432,658.1018713461741,903.1992356780532,1640.211382594297,916.9094135148545,0.0,0.0,0.0,0.0,True
mild_heat|extra_heat|mild_heat|protect,828.024735456,10343.654432,0.07809600000000001,0.0,0.03348,10308.3296,10322.85635907584,10066.635231999999,10228.863355095038,51.390432000000004,7953.1150199255035,44.8656,3208.8443700127336,2713.9948320699305,3711.617560464511,6223.609097542118,3999.839062515917,0.0,0.0,0.0,0.0,True
mild_heat|extra_heat|scheduled_heat|mild_heat,366.11867408,10728.026751999998,0.016632,0.24000000000000002,0.24361152000000003,10071.519552,10415.1281412096,678.646752,3872.495807565618,675.6216,2274.6481195582464,675.6216,1315.2322078232985,1160.1156309207886,1659.4565436298258,3149.28267008657,1475.1348597791232,0.0,0.0,0.0,0.0,True
mild_heat|extra_heat|scheduled_heat|scheduled_heat,255.39452176000003,10727.594688000001,0.004752,0.24000000000000002,0.24361152000000003,690.094688,5313.8427851264005,690.094688,1614.84430742528,686.5304000000001,1150.9158787506176,67.71788800000002,856.4715060735999,660.881749854491,908.416733294333,1653.4068726255618,918.7231393753087,0.0,0.0,0.0,0.0,True
mild_heat|extra_heat|scheduled_heat|extra_heat,264.6650556800001,10728.35728,0.004752,0.24000000000000002,0.24000000000000002,703.81728,5237.710896384001,703.81728,1610.5960032768,699.624,1155.378854624256,67.60928,865.7754882560001,666.540846077038,911.3078479254317,1639.6120086244764,927.5014273121282,0.0,0.0,0.0,0.0,True
mild_heat|extra_heat|scheduled_heat|protect,384.77647817599996,10343.222368,0.03348,0.0,0.016632,10299.897568,10319.289924966402,60.19356800000002,6846.763568476161,57.7784,3452.723028107265,55.77439999999999,1414.624789636506,1493.5580482763744,2196.057233003601,4262.812438772928,1754.3373870456323,0.0,0.0,0.0,0.0,True
mild_heat|extra_heat|extra_heat|mild_heat,256.35977712000005,10728.789344,0.004752,0.24000000000000002,0.24000000000000002,692.3693440000001,5235.640032563201,692.3693440000001,1601.0234817126402,688.7152000000001,1145.1036270297088,68.35094400000001,855.4178322432,658.1018713461741,903.1992356780532,1640.211382594297,916.9094135148545,0.0,0.0,0.0,0.0,True
