sequence,mean,worst,prob_catastrophic,prob_degraded,prob_rejected,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,violation_score,feasible
process_A|process_A,5978.5,10849.0,0.55,0.55,0.55,10849.0,10849.0,10849.0,10849.0,10849.0,10849.0,10849.0,10849.0,7765.891169580353,9176.84712814716,10554.098487809732,10849.0,0.55,550000.0,False
process_A|process_B,10402.0,10834.0,1.0,0.1,1.0,10834.0,10834.0,10834.0,10834.0,10354.0,10834.0,10354.0,10546.0,10484.171183316932,10547.910301445147,10689.034441581536,10594.0,1.0,1000000.0,False
process_A|overprocess,6263.5,10894.0,0.55,1.0,1.0,10894.0,10894.0,10894.0,10894.0,10801.5,10894.0,10801.5,10838.5,7714.996706102103,8906.630677467283,10414.249490207483,10847.75,0.55,550000.0,False
process_A|hold,10371.25,10419.0,1.0,0.0,1.0,10419.0,10419.0,10419.0,10419.0,10419.0,10419.0,10419.0,10419.0,10388.190258433582,10402.02535239925,10415.780626366006,10419.0,1.0,1000000.0,False
process_B|process_A,10402.0,10834.0,1.0,0.1,1.0,10834.0,10834.0,10834.0,10834.0,10354.0,10834.0,10354.0,10546.0,10484.171183316932,10547.910301445147,10689.034441581536,10594.0,1.0,1000000.0,False
process_B|process_B,5978.5,10849.0,0.55,0.55,0.55,10849.0,10849.0,10849.0,10849.0,10849.0,10849.0,10849.0,10849.0,7765.891169580353,9176.84712814716,10554.098487809732,10849.0,0.55,550000.0,False
process_B|overprocess,6263.5,10894.0,0.55,1.0,1.0,10894.0,10894.0,10894.0,10894.0,10801.5,10894.0,10801.5,10838.5,7714.996706102103,8906.630677467283,10414.249490207483,10847.75,0.55,550000.0,False
process_B|hold,10371.25,10419.0,1.0,0.0,1.0,10419.0,10419.0,10419.0,10419.0,10419.0,10419.0,10419.0,10419.0,10388.190258433582,10402.02535239925,10415.780626366006,10419.0,1.0,1000000.0,False
overprocess|process_A,6263.5,10894.0,0.55,1.0,1.0,10894.0,10894.0,10894.0,10894.0,10801.5,10894.0,10801.5,10838.5,7714.996706102103,8906.630677467283,10414.249490207483,10847.75,0.55,550000.0,False
overprocess|process_B,6263.5,10894.0,0.55,1.0,1.0,10894.0,10894.0,10894.0,10894.0,10801.5,10894.0,10801.5,10838.5,7714.996706102103,8906.630677467283,10414.249490207483,10847.75,0.55,550000.0,False
overprocess|overprocess,1774.0,10954.0,0.1,1.0,1.0,10954.0,10954.0,10954.0,10954.0,754.0,10954.0,754.0,4834.0,3520.1376454848187,4874.593905709376,7873.481883607609,5854.000000000001,0.1,100000.0,False
overprocess|hold,10771.75,10864.0,1.0,1.0,1.0,10864.0,10864.0,10864.0,10864.0,10761.5,10864.0,10761.5,10802.5,10789.296971437469,10802.907928954432,10833.043813046057,10812.75,1.0,1000000.0,False
hold|process_A,10373.5,10421.5,1.0,0.0,1.0,10421.5,10421.5,10421.5,10421.5,10421.5,10421.5,10421.5,10421.5,10390.231668402426,10404.140315012506,10418.096477677767,10421.5,1.0,1000000.0,False
hold|process_B,10373.5,10421.5,1.0,0.0,1.0,10421.5,10421.5,10421.5,10421.5,10421.5,10421.5,10421.5,10421.5,10390.231668402426,10404.140315012506,10418.096477677767,10421.5,1.0,1000000.0,False
hold|overprocess,10774.0,10864.0,1.0,1.0,1.0,10864.0,10864.0,10864.0,10864.0,10764.0,10864.0,10764.0,10804.0,10791.11899652436,10804.397979467738,10833.798841996155,10814.0,1.0,1000000.0,False
hold|hold,10384.0,10384.0,1.0,0.0,1.0,10384.0,10384.0,10384.0,10384.0,10384.0,10384.0,10384.0,10384.0,10384.000000000002,10384.0,10384.0,10384.0,1.0,1000000.0,False
