sequence,mean,worst,prob_catastrophic,prob_immune,prob_no_benefit,prob_offtarget,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,viol_no_benefit,viol_offtarget,viol_immune,violation_score,feasible
low_vector|low_vector|low_vector|low_vector,336.62839872000006,4765.54464,0.0,0.0,0.055128,0.0,4698.792,4723.440236236802,4653.560640000001,4681.3119301632005,126.44064,2639.4241018060807,98.11200000000001,1118.7044610244614,1033.1647061371555,1441.7779226841055,2542.469167085154,1373.8303625840642,0.0,0.0,0.0,0.0,0.0,True
low_vector|low_vector|low_vector|standard_vector,265.23807872000003,4787.04518,0.0,0.0,0.03348,0.0,4714.6115,4738.881821081601,159.41150000000002,3205.3359225962245,145.80518,1678.0388925833602,139.13150000000002,754.9306946274561,775.6910085781534,1096.4766591836315,2038.8797943351021,908.88049328432,0.0,0.0,0.0,0.0,0.0,True
low_vector|low_vector|low_vector|high_vector,4072.8366425600016,16539.23996,0.24000000000000002,0.05280000000000001,0.24361152000000003,0.24000000000000002,16445.39996,16472.49028491008,16423.91996,16435.564354582013,16413.443,16425.220670144,218.55896,15836.163490073599,7351.25137886226,9203.647879418262,12875.29822699465,16419.331835072,0.0,0.0,0.0,0.0,0.0,True
low_vector|low_vector|low_vector|targeted_vector,180.16615244800005,4766.2768,0.0,0.0,0.016632,0.0,4675.1968,4715.74998784,140.68480000000002,1671.1843145728,132.38080000000002,903.2697461248,126.63999999999999,437.49511358464,506.5341658063004,727.0805022322116,1435.261305813998,515.2088919808,0.0,0.0,0.0,0.0,0.0,True
low_vector|low_vector|standard_vector|low_vector,265.23807872000003,4787.04518,0.0,0.0,0.03348,0.0,4714.6115,4738.881821081601,159.41150000000002,3205.3359225962245,145.80518,1678.0388925833602,139.13150000000002,754.9306946274561,775.6910085781534,1096.4766591836315,2038.8797943351021,908.88049328432,0.0,0.0,0.0,0.0,0.0,True
low_vector|low_vector|standard_vector|standard_vector,1015.0766771200003,16508.54572,0.05280000000000001,0.05280000000000001,0.05641152000000001,0.05280000000000001,16398.14572,16435.577794240002,16388.905720000002,16399.108606144,180.151,8912.355619064705,180.151,3673.0328476258824,2984.4904910972705,4253.06098722859,7719.147222729334,4546.253309532353,0.0,0.0,0.0,0.0,0.0,True
low_vector|low_vector|standard_vector|high_vector,4103.067208960001,16560.7405,0.24000000000000002,0.05280000000000001,0.24361152000000003,0.24000000000000002,16467.0205,16491.717262624003,16467.0205,16471.959852524797,16454.4625,16464.070585504,227.05300000000003,15875.0141378176,7394.837742440664,9269.243590662307,12969.664605604388,16459.266542752,0.0,0.0,0.0,0.0,0.0,True
low_vector|low_vector|standard_vector|targeted_vector,155.95379500800001,4787.777340000001,0.0,0.0,0.004752,0.0,209.37150000000003,2373.9909470208,175.48134000000002,619.8388218896639,167.6595,395.27315573548805,167.6595,258.70496229419524,304.06984352317363,405.2297484803139,753.9622766501831,281.46632786774404,0.0,0.0,0.0,0.0,0.0,True
low_vector|low_vector|high_vector|low_vector,4072.8366425600016,16539.23996,0.24000000000000002,0.05280000000000001,0.24361152000000003,0.24000000000000002,16445.39996,16472.49028491008,16423.91996,16435.564354582013,16413.443,16425.220670144,218.55896,15836.163490073599,7351.25137886226,9203.647879418262,12875.29822699465,16419.331835072,0.0,0.0,0.0,0.0,0.0,True
low_vector|low_vector|high_vector|standard_vector,4103.067208960001,16560.7405,0.24000000000000002,0.05280000000000001,0.24361152000000003,0.24000000000000002,16467.0205,16491.717262624003,16467.0205,16471.959852524797,16454.4625,16464.070585504,227.05300000000003,15875.0141378176,7394.837742440664,9269.243590662307,12969.664605604388,16459.266542752,0.0,0.0,0.0,0.0,0.0,True
