sequence,mean,worst,prob_catastrophic,prob_immune,prob_no_benefit,prob_offtarget,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,viol_no_benefit,viol_offtarget,viol_immune,violation_score,feasible
low_vector|low_vector|low_vector|low_vector,663.3253056,4831.7424,0.0,0.0,0.12021600000000002,0.0,4763.4,4785.668556288,4709.8224,4740.93725184,4669.5599999999995,4715.732809728,141.48,2345.9400428544,1697.4654988863856,2201.5079782903827,3353.12809648144,2896.346564352,0.0,0.0,0.0,0.0,0.0,True
low_vector|low_vector|low_vector|standard_vector,4231.62612752,16567.47005,0.24000000000000002,0.05280000000000001,0.28189728000000003,0.24000000000000002,16479.390049999998,16504.2026625824,16404.64625,16446.89115060032,16382.44625,16419.202652048,4756.1213,15932.8932364352,7715.538251337014,9542.69558964604,13111.91277204156,16400.824451024,0.020000000000000018,0.04189728000000004,0.0,0.0,61897.28000000006,False
low_vector|low_vector|low_vector|high_vector,4226.479674560001,16645.666100000002,0.24000000000000002,0.05280000000000001,0.26544480000000004,0.24000000000000002,16551.826100000002,16577.449985772804,16495.5461,16522.39356308096,16481.4425,16504.308918944,4802.3186000000005,16024.221535193601,7638.446678188122,9470.512117626104,13084.123110661214,16492.875709472002,0.020000000000000018,0.025444800000000045,0.0,0.0,45444.80000000006,False
low_vector|low_vector|low_vector|targeted_vector,388.047867328,4840.324,0.0,0.0,0.055128,0.0,4765.612,4789.234762240001,4702.312000000001,4736.8735552,181.624,2698.4331258879993,163.9,1179.45830711296,1086.4441307204827,1491.7706278222342,2584.261538934886,1433.3478838911997,0.0,0.0,0.0,0.0,0.0,True
low_vector|low_vector|standard_vector|low_vector,4231.62612752,16567.47005,0.24000000000000002,0.05280000000000001,0.28189728000000003,0.24000000000000002,16479.390049999998,16504.2026625824,16404.64625,16446.89115060032,16382.44625,16419.202652048,4756.1213,15932.8932364352,7715.538251337014,9542.69558964604,13111.91277204156,16400.824451024,0.020000000000000018,0.04189728000000004,0.0,0.0,61897.28000000006,False
low_vector|low_vector|standard_vector|standard_vector,4193.38035232,16603.1977,0.24000000000000002,0.05280000000000001,0.26544480000000004,0.24000000000000002,16510.3177,16536.398789689603,16448.7577,16480.429341502717,16436.9725,16460.698785568,4774.3402,15980.7551458432,7603.161973041869,9433.760563125423,13044.498853408633,16448.835642784004,0.020000000000000018,0.025444800000000045,0.0,0.0,45444.80000000006,False
low_vector|low_vector|standard_vector|high_vector,4207.73927536,16681.39375,0.24000000000000002,0.05280000000000001,0.25264032000000003,0.24000000000000002,16582.75375,16609.64611288,16552.87375,16568.156565616,16535.96875,16553.219554864,4820.537499999999,16075.0492455616,7565.180424061828,9421.754887782394,13079.243904333141,16544.594152432,0.020000000000000018,0.012640320000000038,0.0,0.0,32640.320000000058,False
low_vector|low_vector|standard_vector|targeted_vector,4179.188300448,16576.05165,0.24000000000000002,0.05280000000000001,0.26544480000000004,0.24000000000000002,16481.539650000002,16508.944942723203,16428.95565,16454.57677698624,16418.42625,16438.286491075203,4755.0428999999995,15960.632436046082,7582.0624005134305,9406.353489179422,13009.42824098777,16428.356370537604,0.020000000000000018,0.025444800000000045,0.0,0.0,45444.80000000006,False
low_vector|low_vector|high_vector|low_vector,4226.479674560001,16645.666100000002,0.24000000000000002,0.05280000000000001,0.26544480000000004,0.24000000000000002,16551.826100000002,16577.449985772804,16495.5461,16522.39356308096,16481.4425,16504.308918944,4802.3186000000005,16024.221535193601,7638.446678188122,9470.512117626104,13084.123110661214,16492.875709472002,0.020000000000000018,0.025444800000000045,0.0,0.0,45444.80000000006,False
low_vector|low_vector|high_vector|standard_vector,4207.73927536,16681.39375,0.24000000000000002,0.05280000000000001,0.25264032000000003,0.24000000000000002,16582.75375,16609.64611288,16552.87375,16568.156565616,16535.96875,16553.219554864,4820.537499999999,16075.0492455616,7565.180424061828,9421.754887782394,13079.243904333141,16544.594152432,0.020000000000000018,0.012640320000000038,0.0,0.0,32640.320000000058,False
low_vector|low_vector|high_vector|high_vector,8731.457784,16759.5898,0.4072,0.22,1.0,0.24000000000000002,16656.9898,16683.247100070403,16656.9898,16662.241260014078,16634.965,16650.1104016,11366.7348,16431.091376256,11399.737003062435,12620.624532563812,14829.932079721983,16642.537700800003,0.1872,0.76,0.0,0.0,947200.0,False
low_vector|low_vector|high_vector|targeted_vector,4153.622710848,16654.2477,0.24000000000000002,0.05280000000000001,0.24361152000000003,0.24000000000000002,16553.9757,16582.192265913603,16533.0717,16545.43452780672,16517.4225,16532.499470035204,301.2402,15940.610779630084,7439.756049057168,9296.185586731617,12976.019889080288,16524.960985017602,0.020000000000000018,0.0036115200000000347,0.0,0.0,23611.52000000005,False
low_vector|low_vector|targeted_vector|low_vector,388.047867328,4840.324,0.0,0.0,0.055128,0.0,4765.611999999999,4789.23476224,4702.312000000001,4736.8735552,181.62400000000002,2698.4331258879993,163.9,1179.45830711296,1086.4441307204827,1491.770627822234,2584.261538934886,1433.3478838911997,0.0,0.0,0.0,0.0,0.0,True
low_vector|low_vector|targeted_vector|standard_vector,4179.188300448,16576.05165,0.24000000000000002,0.05280000000000001,0.26544480000000004,0.24000000000000002,16481.539650000002,16508.944942723203,16428.95565,16454.57677698624,16418.42625,16438.286491075203,4755.0428999999995,15960.632436046082,7582.0624005134305,9406.353489179422,13009.42824098777,16428.356370537604,0.020000000000000018,0.025444800000000045,0.0,0.0,45444.80000000006,False
low_vector|low_vector|targeted_vector|high_vector,4153.622710848,16654.2477,0.24000000000000002,0.05280000000000001,0.24361152000000003,0.24000000000000002,16553.9757,16582.192265913603,16533.0717,16545.43452780672,16517.4225,16532.499470035204,301.2402,15940.610779630084,7439.756049057168,9296.185586731617,12976.019889080288,16524.960985017602,0.020000000000000018,0.0036115200000000347,0.0,0.0,23611.52000000005,False
low_vector|low_vector|targeted_vector|targeted_vector,4107.720291776,16548.905600000002,0.24000000000000002,0.05280000000000001,0.25264032000000003,0.24000000000000002,16452.7616,16481.491095756803,16409.153599999998,16430.376387829758,16399.879999999997,16416.7002842624,4735.745599999999,15940.840161320959,7438.342867162997,9266.68872650713,12901.695490710805,16408.290142131198,0.020000000000000018,0.012640320000000038,0.0,0.0,32640.320000000058,False
low_vector|standard_vector|low_vector|low_vector,4231.62612752,16567.47005,0.24000000000000002,0.05280000000000001,0.28189728000000003,0.24000000000000002,16479.390049999998,16504.2026625824,16404.64625,16446.89115060032,16382.44625,16419.202652048,4756.1213,15932.8932364352,7715.538251337014,9542.69558964604,13111.91277204156,16400.824451024,0.020000000000000018,0.04189728000000004,0.0,0.0,61897.28000000006,False
low_vector|standard_vector|low_vector|standard_vector,4193.38035232,16603.1977,0.24000000000000002,0.05280000000000001,0.26544480000000004,0.24000000000000002,16510.3177,16536.398789689603,16448.7577,16480.429341502717,16436.9725,16460.698785568,4774.3402,15980.7551458432,7603.161973041869,9433.760563125423,13044.498853408633,16448.835642784004,0.020000000000000018,0.025444800000000045,0.0,0.0,45444.80000000006,False
low_vector|standard_vector|low_vector|high_vector,4207.73927536,16681.39375,0.24000000000000002,0.05280000000000001,0.25264032000000003,0.24000000000000002,16582.75375,16609.64611288,16552.87375,16568.156565616,16535.96875,16553.219554864,4820.537499999999,16075.0492455616,7565.180424061828,9421.754887782394,13079.243904333141,16544.594152432,0.020000000000000018,0.012640320000000038,0.0,0.0,32640.320000000058,False
low_vector|standard_vector|low_vector|targeted_vector,4179.188300448,16576.05165,0.24000000000000002,0.05280000000000001,0.26544480000000004,0.24000000000000002,16481.539650000002,16508.944942723203,16428.95565,16454.57677698624,16418.42625,16438.286491075203,4755.0428999999995,15960.632436046082,7582.0624005134305,9406.353489179422,13009.42824098777,16428.356370537604,0.020000000000000018,0.025444800000000045,0.0,0.0,45444.80000000006,False
low_vector|standard_vector|standard_vector|low_vector,4193.38035232,16603.1977,0.24000000000000002,0.05280000000000001,0.26544480000000004,0.24000000000000002,16510.3177,16536.398789689603,16448.7577,16480.429341502717,16436.9725,16460.698785568,4774.3402,15980.7551458432,7603.161973041869,9433.760563125423,13044.498853408633,16448.835642784004,0.020000000000000018,0.025444800000000045,0.0,0.0,45444.80000000006,False
low_vector|standard_vector|standard_vector|standard_vector,4174.33903632,16638.92535,0.24000000000000002,0.05280000000000001,0.25264032000000003,0.24000000000000002,16541.24535,16568.594916796803,16506.08535,16523.33303487936,16491.49875,16508.887221168003,4792.5591,16031.2939760832,7510.611643725744,9341.833458376086,12982.033234050574,16500.192985584003,0.020000000000000018,0.012640320000000038,0.0,0.0,32640.320000000058,False
low_vector|standard_vector|standard_vector|high_vector,8697.722235199997,16717.1214,0.4072,0.22,1.0,0.24000000000000002,16613.6814,16641.8422399872,16610.2014,16616.75442610944,16590.495,16604.97332448,11338.7564,16387.014209408004,11355.500217667004,12570.392454785157,14784.993537485441,16597.73416224,0.1872,0.76,0.0,0.0,947200.0,False
low_vector|standard_vector|standard_vector|targeted_vector,4120.025350208001,16611.7793,0.24000000000000002,0.05280000000000001,0.24361152000000003,0.24000000000000002,16512.4673,16541.141069830406,16486.2833,16500.610997070078,16472.9525,16487.694044499203,273.2618,15896.666273415678,7403.650515300828,9258.535585447271,12935.38781544587,16480.3232722496,0.020000000000000018,0.0036115200000000347,0.0,0.0,23611.52000000005,False
low_vector|standard_vector|high_vector|low_vector,4207.73927536,16681.39375,0.24000000000000002,0.05280000000000001,0.25264032000000003,0.24000000000000002,16582.75375,16609.64611288,16552.87375,16568.156565616,16535.96875,16553.219554864,4820.537499999999,16075.0492455616,7565.180424061828,9421.754887782394,13079.243904333141,16544.594152432,0.020000000000000018,0.012640320000000038,0.0,0.0,32640.320000000058,False
low_vector|standard_vector|high_vector|standard_vector,8697.722235199997,16717.1214,0.4072,0.22,1.0,0.24000000000000002,16613.6814,16641.8422399872,16610.2014,16616.75442610944,16590.495,16604.97332448,11338.7564,16387.014209408004,11355.500217667004,12570.392454785157,14784.993537485441,16597.73416224,0.1872,0.76,0.0,0.0,947200.0,False
low_vector|standard_vector|high_vector|high_vector,8772.51998,16795.31745,0.4072,0.22,1.0,0.24000000000000002,16714.31745,16730.911434,16714.31745,16717.6362468,16689.49125,16704.258882000002,11384.9537,16484.014224416,11391.431709267263,12561.733115133922,14765.591746924161,16696.875066,0.1872,0.76,0.0,0.0,947200.0,False
low_vector|standard_vector|high_vector|targeted_vector,6016.922925088001,16689.97535,0.4072,0.22,0.4072,0.24000000000000002,16590.39935,16615.4682471008,16590.39935,16595.413129420158,16571.94875,16584.9436102112,11319.4591,16367.84453170048,9793.432000709181,11439.488161841438,14340.785424384267,16578.446180105602,0.1872,0.16720000000000002,0.0,0.0,354400.0,False
low_vector|standard_vector|targeted_vector|low_vector,4179.188300448,16576.05165,0.24000000000000002,0.05280000000000001,0.26544480000000004,0.24000000000000002,16481.539650000002,16508.944942723203,16428.95565,16454.57677698624,16418.42625,16438.286491075203,4755.0428999999995,15960.632436046082,7582.0624005134305,9406.353489179422,13009.42824098777,16428.356370537604,0.020000000000000018,0.025444800000000045,0.0,0.0,45444.80000000006,False
low_vector|standard_vector|targeted_vector|standard_vector,4120.025350208001,16611.7793,0.24000000000000002,0.05280000000000001,0.24361152000000003,0.24000000000000002,16512.4673,16541.141069830406,16486.2833,16500.610997070078,16472.9525,16487.694044499203,273.26180000000005,15896.666273415678,7403.650515300828,9258.535585447271,12935.38781544587,16480.3232722496,0.020000000000000018,0.0036115200000000347,0.0,0.0,23611.52000000005,False
low_vector|standard_vector|targeted_vector|high_vector,6016.922925088001,16689.97535,0.4072,0.22,0.4072,0.24000000000000002,16590.39935,16615.4682471008,16590.39935,16595.413129420158,16571.94875,16584.9436102112,11319.4591,16367.84453170048,9793.432000709181,11439.488161841438,14340.785424384267,16578.446180105602,0.1872,0.16720000000000002,0.0,0.0,354400.0,False
low_vector|standard_vector|targeted_vector|targeted_vector,4106.538385696,16584.63325,0.24000000000000002,0.05280000000000001,0.24361152000000003,0.24000000000000002,16483.68925,16513.687222864002,16466.48125,16477.8889592608,16454.40625,16466.973959670402,253.96450000000002,15877.220447484162,7387.196633145481,9240.803121712215,12914.90173919733,16460.6901048352,0.020000000000000018,0.0036115200000000347,0.0,0.0,23611.52000000005,False
low_vector|high_vector|low_vector|low_vector,4226.479674560001,16645.666100000002,0.24000000000000002,0.05280000000000001,0.26544480000000004,0.24000000000000002,16551.826100000002,16577.449985772804,16495.5461,16522.39356308096,16481.4425,16504.308918944,4802.3186000000005,16024.221535193601,7638.446678188122,9470.512117626104,13084.123110661214,16492.875709472002,0.020000000000000018,0.025444800000000045,0.0,0.0,45444.80000000006,False
low_vector|high_vector|low_vector|standard_vector,4207.73927536,16681.39375,0.24000000000000002,0.05280000000000001,0.25264032000000003,0.24000000000000002,16582.75375,16609.64611288,16552.87375,16568.156565616,16535.96875,16553.219554864,4820.537499999999,16075.0492455616,7565.180424061828,9421.754887782394,13079.243904333141,16544.594152432,0.020000000000000018,0.012640320000000038,0.0,0.0,32640.320000000058,False
low_vector|high_vector|low_vector|high_vector,8731.457784,16759.5898,0.4072,0.22,1.0,0.24000000000000002,16656.9898,16683.247100070403,16656.9898,16662.241260014078,16634.965,16650.1104016,11366.7348,16431.091376256,11399.737003062435,12620.624532563812,14829.932079721983,16642.537700800003,0.1872,0.76,0.0,0.0,947200.0,False
low_vector|high_vector|low_vector|targeted_vector,4153.622710848,16654.2477,0.24000000000000002,0.05280000000000001,0.24361152000000003,0.24000000000000002,16553.9757,16582.192265913603,16533.0717,16545.43452780672,16517.4225,16532.499470035204,301.2402,15940.610779630084,7439.756049057168,9296.185586731617,12976.019889080288,16524.960985017602,0.020000000000000018,0.0036115200000000347,0.0,0.0,23611.52000000005,False
low_vector|high_vector|standard_vector|low_vector,4207.73927536,16681.39375,0.24000000000000002,0.05280000000000001,0.25264032000000003,0.24000000000000002,16582.75375,16609.64611288,16552.87375,16568.156565616,16535.96875,16553.219554864,4820.537499999999,16075.0492455616,7565.180424061828,9421.754887782394,13079.243904333141,16544.594152432,0.020000000000000018,0.012640320000000038,0.0,0.0,32640.320000000058,False
low_vector|high_vector|standard_vector|standard_vector,8697.722235199997,16717.1214,0.4072,0.22,1.0,0.24000000000000002,16613.6814,16641.8422399872,16610.2014,16616.75442610944,16590.495,16604.97332448,11338.7564,16387.014209408004,11355.500217667004,12570.392454785157,14784.993537485441,16597.73416224,0.1872,0.76,0.0,0.0,947200.0,False
low_vector|high_vector|standard_vector|high_vector,8772.51998,16795.31745,0.4072,0.22,1.0,0.24000000000000002,16714.31745,16730.911434,16714.31745,16717.6362468,16689.49125,16704.258882000002,11384.9537,16484.014224416,11391.431709267263,12561.733115133922,14765.591746924161,16696.875066,0.1872,0.76,0.0,0.0,947200.0,False
