sequence,mean,worst,prob_catastrophic,prob_immune,prob_no_benefit,prob_offtarget,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,violation_score,feasible
vector_A|vector_A,9053.0,16439.0,0.55,0.55,0.55,0.55,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,11764.468133314098,13904.146536677112,15992.312618480695,16439.0,0.55,550000.0,False
vector_A|vector_B,11663.0,16424.0,1.0,0.1,1.0,0.1,16424.0,16424.0,16424.0,16424.0,11134.0,16424.0,11134.0,13250.0,12568.594916138696,13271.05311384339,14826.358741596496,13779.0,1.0,1000000.0,False
vector_A|broad_vector,16353.5,16484.0,1.0,1.0,1.0,1.0,16484.0,16484.0,16484.0,16484.0,16391.5,16484.0,16391.5,16428.5,16384.252881938748,16408.790453360776,16451.36917218567,16437.75,1.0,1000000.0,False
vector_A|pause,11151.25,11199.0,1.0,0.0,1.0,0.0,11199.0,11199.0,11199.0,11199.0,11199.0,11199.0,11199.0,11199.0,11168.19025843358,11182.02535239925,11195.780626366006,11199.0,1.0,1000000.0,False
vector_B|vector_A,11663.0,16424.0,1.0,0.1,1.0,0.1,16424.0,16424.0,16424.0,16424.0,11134.0,16424.0,11134.0,13250.0,12568.594916138696,13271.05311384339,14826.358741596496,13779.0,1.0,1000000.0,False
vector_B|vector_B,9053.0,16439.0,0.55,0.55,0.55,0.55,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,11764.468133314098,13904.146536677112,15992.312618480695,16439.0,0.55,550000.0,False
vector_B|broad_vector,16353.5,16484.0,1.0,1.0,1.0,1.0,16484.0,16484.0,16484.0,16484.0,16391.5,16484.0,16391.5,16428.5,16384.252881938748,16408.790453360776,16451.36917218567,16437.75,1.0,1000000.0,False
vector_B|pause,11151.25,11199.0,1.0,0.0,1.0,0.0,11199.0,11199.0,11199.0,11199.0,11199.0,11199.0,11199.0,11199.0,11168.19025843358,11182.02535239925,11195.780626366006,11199.0,1.0,1000000.0,False
broad_vector|vector_A,16353.5,16484.0,1.0,1.0,1.0,1.0,16484.0,16484.0,16484.0,16484.0,16391.5,16484.0,16391.5,16428.5,16384.252881938748,16408.790453360776,16451.36917218567,16437.75,1.0,1000000.0,False
broad_vector|vector_B,16353.5,16484.0,1.0,1.0,1.0,1.0,16484.0,16484.0,16484.0,16484.0,16391.5,16484.0,16391.5,16428.5,16384.252881938748,16408.790453360776,16451.36917218567,16437.75,1.0,1000000.0,False
broad_vector|broad_vector,16364.0,16544.0,1.0,1.0,1.0,1.0,16544.0,16544.0,16544.0,16544.0,16344.0,16544.0,16344.0,16424.0,16398.237993048722,16424.795958935476,16483.59768399231,16444.0,1.0,1000000.0,False
broad_vector|pause,16361.75,16454.0,1.0,1.0,1.0,1.0,16454.0,16454.0,16454.0,16454.0,16351.5,16454.0,16351.5,16392.5,16379.296971437469,16392.90792895443,16423.043813046057,16402.75,1.0,1000000.0,False
pause|vector_A,11153.5,11201.5,1.0,0.0,1.0,0.0,11201.5,11201.5,11201.5,11201.5,11201.5,11201.5,11201.5,11201.5,11170.231668402424,11184.140315012506,11198.096477677771,11201.5,1.0,1000000.0,False
pause|vector_B,11153.5,11201.5,1.0,0.0,1.0,0.0,11201.5,11201.5,11201.5,11201.5,11201.5,11201.5,11201.5,11201.5,11170.231668402424,11184.140315012506,11198.096477677771,11201.5,1.0,1000000.0,False
pause|broad_vector,16364.0,16454.0,1.0,1.0,1.0,1.0,16454.0,16454.0,16454.0,16454.0,16354.0,16454.0,16354.0,16394.0,16381.11899652436,16394.397979467736,16423.798841996155,16404.0,1.0,1000000.0,False
pause|pause,11164.0,11164.0,1.0,0.0,1.0,0.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.000000000002,11163.999999999998,11164.0,11164.0,1.0,1000000.0,False
