sequence,mean,worst,prob_catastrophic,prob_degraded,prob_rejected,prob_shortage,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,viol_degraded,viol_rejected,viol_shortage,violation_score,feasible
gentle|gentle|gentle|gentle,1136.2830579584,9357.505120000002,0.12021600000000002,0.0,0.055128,0.055128,9325.6344,9338.183496806403,9305.37472,9318.556815001599,9057.8624,9204.181958374402,44.036,4439.8652564271115,3184.276350431576,4197.093877093999,6510.352718861796,5538.6432035409925,0.0,0.0,0.0,0.0,0.0,True
gentle|gentle|gentle|standard,553.6360648832001,9362.08588,0.055128,0.0,0.03348,0.03348,9327.6918,9340.483351449602,9072.94008,9242.0978772864,63.83308,5116.707464124161,58.559000000000005,2082.111204493722,1928.1525801490104,2735.855696757043,4921.687375915014,2587.9992556171524,0.0,0.0,0.0,0.0,0.0,True
gentle|gentle|gentle|strong,366.98660120320017,9371.51754,0.03348,0.0,0.004752,0.004752,9103.8693,9226.015489228803,83.75914000000002,6141.979870364801,80.0245,3112.2080376964486,80.0245,1292.8979150785794,1353.7620144582434,1968.0365291011408,3767.001376031322,1596.1162688482243,0.0,0.0,0.0,0.0,0.0,True
gentle|gentle|gentle|protect,2323.95125024,9354.266720000001,0.25108800000000003,0.0,0.12021600000000002,0.12021600000000002,9325.688800000002,9337.706205030401,9310.821919999998,9321.5089005056,9293.3768,9310.0081516544,9052.243999999999,9176.281821132801,4801.9867307436225,5800.073010991526,7730.980430233263,9207.291276416001,0.0010880000000000334,0.0,0.0,0.0,1088.0000000000334,False
gentle|gentle|standard|gentle,553.6360648832001,9362.08588,0.055128,0.0,0.03348,0.03348,9327.6918,9340.483351449602,9072.94008,9242.0978772864,63.83308,5116.707464124161,58.55900000000001,2082.111204493722,1928.1525801490104,2735.855696757043,4921.687375915014,2587.9992556171524,0.0,0.0,0.0,0.0,0.0,True
gentle|gentle|standard|standard,364.50610138880006,9366.666640000001,0.03348,0.0,0.016632,0.016632,9319.612640000001,9340.353675392002,76.48904000000002,6192.8398319744,73.08200000000001,3134.152698998528,73.08200000000001,1297.5102795994114,1363.4185245065562,1991.6109950357134,3839.940213159361,1603.6173494992643,0.0,0.0,0.0,0.0,0.0,True
gentle|gentle|standard|strong,391.0530496768,9836.0983,0.016632,0.24000000000000002,0.24361152000000003,0.24361152000000003,9092.3558,9474.257550560002,789.0247,3627.9832747167998,784.5475,2207.13771784288,784.5475,1353.583587137152,1134.138213962465,1596.7877538201274,2960.883896158119,1495.8426089214402,0.0,0.0,0.0,0.0,0.0,True
gentle|gentle|standard|protect,1623.1418086272004,9358.84748,0.17433600000000005,0.0,0.055128,0.055128,9327.7462,9340.006059673602,9308.38728,9321.041962790401,9063.82028,9206.94651310976,47.28600000000001,6390.758167987202,3926.0230941710956,4950.857665380687,7115.567551092613,7976.626209984001,0.0,0.0,0.0,0.0,0.0,True
gentle|gentle|strong|gentle,366.98660120320017,9371.51754,0.03348,0.0,0.004752,0.004752,9103.8693,9226.015489228803,83.75914000000002,6141.979870364801,80.0245,3112.2080376964486,80.0245,1292.8979150785794,1353.7620144582434,1968.0365291011408,3767.001376031322,1596.1162688482243,0.0,0.0,0.0,0.0,0.0,True
gentle|gentle|strong|standard,391.0530496768,9836.0983,0.016632,0.24000000000000002,0.24361152000000003,0.24361152000000003,9092.3558,9474.257550560002,789.0247,3627.9832747167998,784.5475,2207.13771784288,784.5475,1353.583587137152,1134.138213962465,1596.7877538201274,2960.883896158119,1495.8426089214402,0.0,0.0,0.0,0.0,0.0,True
