sequence,mean,worst,prob_catastrophic,prob_degraded,prob_rejected,prob_shortage,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,viol_degraded,viol_rejected,viol_shortage,violation_score,feasible
gentle|gentle|gentle|gentle,2344.9811504000004,9386.8844,0.25108800000000003,0.0,0.12021600000000002,0.12021600000000002,9354.3484,9365.901652480003,9330.596,9345.17988786176,9312.4184,9333.550688576,9068.06,9197.5144937984,4823.495564412199,5820.261539437978,7751.893166806759,9229.878117248,0.17608800000000002,0.0,0.0,0.0,176088.00000000003,False
gentle|gentle|gentle|standard,1166.9386588928,9396.5417,0.12021600000000002,0.0,0.07809600000000001,0.07809600000000001,9361.2253,9372.636249088,9331.6314,9349.47201441792,9083.0478,9286.792336560002,75.8525,4491.365569517312,3225.2220907522806,4240.219200691085,6559.21635048913,5595.240301477759,0.04521600000000002,0.0,0.0,0.0,45216.00000000002,False
gentle|gentle|gentle|strong,959.2979864512001,9873.289550000001,0.07809600000000001,0.24000000000000002,0.26544480000000004,0.26544480000000004,9827.884750000001,9841.277852464,9106.4635,9504.42886684672,802.1247500000001,7486.049786494401,794.26375,3471.520681996288,2762.182082715106,3691.988977336661,6012.66529567696,4140.83491499536,0.0030960000000000154,0.0,0.0,0.0,3096.0000000000155,False
gentle|gentle|gentle|protect,5770.9234435200015,9377.6736,0.6290319999999999,0.0,0.25108800000000003,0.25108800000000003,9348.7328,9360.207017216,9331.9608,9343.125649919999,9315.0208,9331.763150464003,9303.019999999999,9317.1732489728,7695.505360630981,8165.563927891134,8916.909268589892,9320.711561216,0.554032,0.0,0.0,0.0,554032.0,False
gentle|gentle|standard|gentle,1166.9386588928,9396.5417,0.12021600000000002,0.0,0.07809600000000001,0.07809600000000001,9361.2253,9372.636249088,9331.6314,9349.47201441792,9083.0478,9286.792336560002,75.8525,4491.365569517312,3225.2220907522806,4240.219200691085,6559.21635048913,5595.240301477759,0.04521600000000002,0.0,0.0,0.0,45216.00000000002,False
gentle|gentle|standard|standard,952.7132288768001,9866.199,0.07809600000000001,0.24000000000000002,0.26544480000000004,0.26544480000000004,9821.3318,9834.6342840704,9102.6668,9499.46417297408,795.5718,7481.002512403202,785.195,3464.0282367918085,2755.711885941037,3685.5748882155767,6006.415596475586,4133.736545989761,0.0030960000000000154,0.0,0.0,0.0,3096.0000000000155,False
gentle|gentle|standard|strong,568.0290184767999,9882.94685,0.03348,0.24000000000000002,0.25264032000000003,0.25264032000000003,9385.2781,9760.950071267202,819.63325,6559.0011610768,813.60625,3688.4376653943996,813.60625,1963.53881615776,1679.9171223910323,2346.6183038217764,4239.663828009353,2251.0219576972,0.0,0.0,0.0,0.0,0.0,True
gentle|gentle|standard|protect,3090.961128640001,9387.3309,0.3325200000000001,0.0,0.17433600000000005,0.17433600000000005,9355.609699999999,9366.941613824003,9332.9962,9346.77755358208,9320.7434,9336.1874158208,9071.275000000001,9249.762568931585,5662.011164467963,6560.199801955736,8186.152593201644,9294.211354862722,0.2575200000000001,0.0,0.0,0.0,257520.0000000001,False
gentle|gentle|strong|gentle,959.2979864512001,9873.289550000001,0.07809600000000001,0.24000000000000002,0.26544480000000004,0.26544480000000004,9827.884750000001,9841.277852464,9106.4635,9504.42886684672,802.1247500000001,7486.049786494401,794.26375,3471.520681996288,2762.182082715106,3691.988977336661,6012.66529567696,4140.83491499536,0.0030960000000000154,0.0,0.0,0.0,3096.0000000000155,False
gentle|gentle|strong|standard,568.0290184767999,9882.94685,0.03348,0.24000000000000002,0.25264032000000003,0.25264032000000003,9385.2781,9760.950071267202,819.63325,6559.0011610768,813.60625,3688.4376653943996,813.60625,1963.53881615776,1679.9171223910323,2346.6183038217764,4239.663828009353,2251.0219576972,0.0,0.0,0.0,0.0,0.0,True
