sequence,mean,worst,prob_catastrophic,prob_degraded,prob_rejected,prob_shortage,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,viol_degraded,viol_shortage,violation_score,feasible
cycle_A|cycle_A,4979.0,9929.0,0.5,0.5,0.5,0.5,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,6477.413160193937,8122.987314317072,9638.808915561573,9929.0,0.5,0.5,0.5,1500000.0,False
cycle_A|cycle_B,9364.0,9364.0,1.0,0.0,1.0,1.0,9364.0,9364.0,9364.0,9364.0,9364.0,9364.0,9364.0,9364.0,9364.0,9364.0,9364.000000000002,9364.0,1.0,0.0,1.0,2000000.0,False
cycle_A|overkill,5329.0,9881.5,0.5,1.0,1.0,1.0,9881.5,9881.5,9881.5,9881.5,9881.5,9881.5,9881.5,9881.5,6707.0860427844245,8220.515605743125,9614.612139008903,9881.5,0.5,1.0,1.0,2500000.0,False
cycle_A|hold,9376.5,9429.0,1.0,0.0,1.0,1.0,9429.0,9429.0,9429.0,9429.0,9429.0,9429.0,9429.0,9429.0,9392.392260789937,9409.845320000331,9425.922215771108,9429.0,1.0,0.0,1.0,2000000.0,False
cycle_B|cycle_A,9364.0,9364.0,1.0,0.0,1.0,1.0,9364.0,9364.0,9364.0,9364.0,9364.0,9364.0,9364.0,9364.0,9364.0,9364.0,9364.000000000002,9364.0,1.0,0.0,1.0,2000000.0,False
cycle_B|cycle_B,4979.0,9929.0,0.5,0.5,0.5,0.5,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,9929.0,6477.413160193937,8122.987314317072,9638.808915561573,9929.0,0.5,0.5,0.5,1500000.0,False
cycle_B|overkill,5329.0,9881.5,0.5,1.0,1.0,1.0,9881.5,9881.5,9881.5,9881.5,9881.5,9881.5,9881.5,9881.5,6707.0860427844245,8220.515605743125,9614.612139008903,9881.5,0.5,1.0,1.0,2500000.0,False
cycle_B|hold,9376.5,9429.0,1.0,0.0,1.0,1.0,9429.0,9429.0,9429.0,9429.0,9429.0,9429.0,9429.0,9429.0,9392.392260789937,9409.845320000331,9425.922215771108,9429.0,1.0,0.0,1.0,2000000.0,False
overkill|cycle_A,5329.0,9881.5,0.5,1.0,1.0,1.0,9881.5,9881.5,9881.5,9881.5,9881.5,9881.5,9881.5,9881.5,6707.0860427844245,8220.515605743125,9614.612139008903,9881.5,0.5,1.0,1.0,2500000.0,False
overkill|cycle_B,5329.0,9881.5,0.5,1.0,1.0,1.0,9881.5,9881.5,9881.5,9881.5,9881.5,9881.5,9881.5,9881.5,6707.0860427844245,8220.515605743125,9614.612139008903,9881.5,0.5,1.0,1.0,2500000.0,False
overkill|overkill,834.0,834.0,0.0,1.0,1.0,1.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0000000000001,834.0,834.0000000000001,834.0,0.0,1.0,1.0,2000000.0,False
overkill|hold,9841.5,9841.5,1.0,1.0,1.0,1.0,9841.5,9841.5,9841.5,9841.5,9841.5,9841.5,9841.5,9841.5,9841.5,9841.5,9841.5,9841.5,1.0,1.0,1.0,3000000.0,False
hold|cycle_A,9379.0,9431.5,1.0,0.0,1.0,1.0,9431.5,9431.5,9431.5,9431.5,9431.5,9431.5,9431.5,9431.5,9394.892260789937,9412.345320000333,9428.422215771108,9431.5,1.0,0.0,1.0,2000000.0,False
hold|cycle_B,9379.0,9431.5,1.0,0.0,1.0,1.0,9431.5,9431.5,9431.5,9431.5,9431.5,9431.5,9431.5,9431.5,9394.892260789937,9412.345320000333,9428.422215771108,9431.5,1.0,0.0,1.0,2000000.0,False
hold|overkill,9844.0,9844.0,1.0,1.0,1.0,1.0,9844.0,9844.0,9844.0,9844.0,9844.0,9844.0,9844.0,9844.0,9844.0,9844.0,9844.0,9844.0,1.0,1.0,1.0,3000000.0,False
hold|hold,9394.0,9394.0,1.0,0.0,1.0,1.0,9394.0,9394.0,9394.0,9394.0,9394.0,9394.0,9394.0,9394.0,9394.000000000002,9394.0,9394.0,9394.0,1.0,0.0,1.0,2000000.0,False
