instance,domain,variant,horizon,action_count,scenario_count,budget,seed,target_fraction,sample_feasible_fraction,calibration_status,calibration_file,planner,selector,sequence,score,evaluations,runtime_sec,mean,worst,prob_catastrophic,prob_moderate_harm,prob_toxicity,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,calibration_score,viol_catastrophic,viol_moderate_harm,viol_toxicity,viol_calibration_score,violation_score,feasible
bcst_hard_H6_A6_S120,bcst,hard,6,6,120,100,0,0.08,0.08,ok,calibrations/calibration_bcst_hard_H6_A6_S120_seed0.json,random,governed_wowa_balanced,standard_plus|standard|spare|standard_plus|spare|protect,1606.24798617823,100,0.18471550941467285,1061.1453670351204,10309.996459,0.0022503215014379784,0.411764705882353,0.411764705882353,2251.740459,3805.8478858130443,2251.740459,2562.56194436261,2251.740459,2407.1512016813044,2237.1915750000003,2309.4844416860137,1361.5136454720534,1606.24798617823,2083.18066742232,2326.0777996680586,1.8963658416143194,0.0,0.0,0.0,0.0,0.0,True
bcst_hard_H6_A6_S120,bcst,hard,6,6,120,100,0,0.08,0.08,ok,calibrations/calibration_bcst_hard_H6_A6_S120_seed0.json,beam,governed_wowa_balanced,standard_plus|standard|spare|spare|spare|spare,1587.8761356721163,116,0.18718552589416504,1044.307387226242,10289.855253999998,0.0022503215014379784,0.411764705882353,0.411764705882353,2230.411254,3786.4977270834697,2230.411254,2541.6285486166944,2230.411254,2386.019901308347,2216.91195,2288.5532871590635,1343.8500486366743,1587.8761356721163,2063.5493754135473,2305.0905221564003,1.8961773206112307,0.0,0.0,0.0,0.0,0.0,True
bcst_hard_H6_A6_S120,bcst,hard,6,6,120,100,0,0.08,0.08,ok,calibrations/calibration_bcst_hard_H6_A6_S120_seed0.json,cem,governed_wowa_balanced,spare|spare|mild_plus|standard|standard_plus|spare,1604.4457216990588,100,0.17897653579711914,1059.7167508030504,10302.428060000002,0.0022503215014379784,0.411764705882353,0.411764705882353,2250.11206,3799.04181357191,2250.11206,2559.8980107143825,2250.11206,2405.005035357191,2235.6355,2307.6709095942033,1359.8369548519672,1604.4457216990588,2081.0798904155577,2324.2072598331742,1.8963439870529986,0.0,0.0,0.0,0.0,0.0,True
bcst_hard_H6_A6_S120,bcst,hard,6,6,120,100,0,0.08,0.08,ok,calibrations/calibration_bcst_hard_H6_A6_S120_seed0.json,evolutionary,governed_wowa_balanced,spare|standard|standard|mild_plus|spare|spare,1593.5246196303797,100,0.17907476425170898,1049.4050527691445,10297.182794000002,0.0022503215014379784,0.411764705882353,0.411764705882353,2236.946794,3793.429766779175,2236.946794,2548.2433885558353,2236.946794,2392.595091277917,2223.1064499999998,2295.0010706758026,1349.2533817798717,1593.5246196303797,2069.6485085018185,2311.566937224437,1.8962356248066594,0.0,0.0,0.0,0.0,0.0,True
bcst_hard_H6_A6_S120,bcst,hard,6,6,120,100,0,0.08,0.08,ok,calibrations/calibration_bcst_hard_H6_A6_S120_seed0.json,open_loop_mcts,governed_wowa_balanced,spare|spare|mild_plus|standard|standard|mild_plus,1608.714487559693,100,0.17838668823242188,1063.5573700254233,10308.153006,0.0022503215014379784,0.411764705882353,0.411764705882353,2255.045006,3804.4432114138713,2255.045006,2564.9246470827743,2255.045006,2409.9848265413866,2240.30855,2312.543630770947,1363.9164965360596,1608.714487559693,2085.6987075541197,2329.103463143888,1.8963881181912223,0.0,0.0,0.0,0.0,0.0,True
bcst_hard_H6_A6_S120,bcst,hard,6,6,120,500,0,0.08,0.08,ok,calibrations/calibration_bcst_hard_H6_A6_S120_seed0.json,random,governed_wowa_balanced,mild_plus|spare|mild_plus|standard|mild_plus|mild_plus,1589.5785528649535,500,0.889509916305542,1045.884255702106,10294.071266,0.0022503215014379784,0.411764705882353,0.411764705882353,2233.0579326666666,3790.4803004994574,2232.2512659999998,2543.908462785379,2232.2512659999998,2388.0798643926883,2218.6790499999997,2290.4591271058775,1345.5054444108534,1589.5785528649535,2065.9674180669126,2307.023630750852,1.8961973053079892,0.0,0.0,0.0,0.0,0.0,True
bcst_hard_H6_A6_S120,bcst,hard,6,6,120,500,0,0.08,0.08,ok,calibrations/calibration_bcst_hard_H6_A6_S120_seed0.json,beam,governed_wowa_balanced,standard_plus|standard_plus|mild_plus|mild_plus|spare|spare,1523.8157846894399,442,0.7401106357574463,1057.471642069338,2307.4253799999997,0.0,0.411764705882353,0.411764705882353,2270.1573799999996,2275.3992865915566,2270.1573799999996,2271.205761318311,2270.1573799999996,2270.681570659155,2254.7165,2265.5572876297742,1307.052168062567,1523.8157846894399,1914.3307598045305,2266.7479937600306,1.8658233182712816,0.0,0.0,0.0,0.0,0.0,True
bcst_hard_H6_A6_S120,bcst,hard,6,6,120,500,0,0.08,0.08,ok,calibrations/calibration_bcst_hard_H6_A6_S120_seed0.json,cem,governed_wowa_balanced,spare|mild_plus|mild_plus|standard_plus|spare|mild_plus,1585.6360737773946,500,0.943958044052124,1042.2581867899453,10288.625032,0.0022503215014379784,0.411764705882353,0.411764705882353,2227.597032,3785.2346089723824,2227.597032,2539.1245473944773,2227.597032,2383.3607896972385,2214.2706000000003,2285.8536321465185,1341.7089411438014,1585.6360737773946,2061.150689482267,2302.393874791405,1.8961555983848675,0.0,0.0,0.0,0.0,0.0,True
bcst_hard_H6_A6_S120,bcst,hard,6,6,120,500,0,0.08,0.08,ok,calibrations/calibration_bcst_hard_H6_A6_S120_seed0.json,evolutionary,governed_wowa_balanced,spare|spare|spare|standard_plus|standard|spare,1592.0152899650025,500,0.8780686855316162,1048.078526187831,10294.663035999998,0.0022503215014379784,0.411764705882353,0.411764705882353,2235.2190360000004,3791.089652644704,2235.2190360000004,2546.393159328942,2235.2190360000004,2390.806097664471,2221.4763000000003,2293.2784741790474,1347.82142301399,1592.0152899650025,2067.9903232626807,2309.8311574283694,1.8962198397828463,0.0,0.0,0.0,0.0,0.0,True
bcst_hard_H6_A6_S120,bcst,hard,6,6,120,500,0,0.08,0.08,ok,calibrations/calibration_bcst_hard_H6_A6_S120_seed0.json,open_loop_mcts,governed_wowa_balanced,spare|spare|mild_plus|standard|standard|mild_plus,1608.714487559693,500,0.8763980865478516,1063.5573700254233,10308.153006,0.0022503215014379784,0.411764705882353,0.411764705882353,2255.045006,3804.4432114138713,2255.045006,2564.9246470827743,2255.045006,2409.9848265413866,2240.30855,2312.543630770947,1363.9164965360596,1608.714487559693,2085.6987075541197,2329.103463143888,1.8963881181912223,0.0,0.0,0.0,0.0,0.0,True
