seed,entropy,budget_mode,forced_mode,H,A,S,num_sequences,feasible_count,feasible_fraction,oracle_feasible,oracle_catastrophic,oracle_degraded,best_feasible_mean,best_violation,regime,budgets_json
0,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.41666666666666663,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
1,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.25,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
2,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.49999999999999994,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
3,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.25,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
4,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.3333333333333333,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
5,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.49999999999999994,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
6,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.6666666666666666,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
7,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.49999999999999994,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
8,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.25,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
9,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.49999999999999994,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
10,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.3333333333333333,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
11,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.5833333333333333,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
12,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.41666666666666663,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
13,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.3333333333333333,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
14,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.3333333333333333,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
15,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.3333333333333333,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
16,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.41666666666666663,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
17,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.49999999999999994,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
18,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.49999999999999994,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
19,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.5833333333333333,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
20,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.41666666666666663,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
21,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.3333333333333333,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
22,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.6666666666666666,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
23,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.25,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
24,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.3333333333333333,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
25,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.41666666666666663,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
26,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.6666666666666666,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
27,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.3333333333333333,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
28,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.3333333333333333,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
29,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.6666666666666666,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
30,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.41666666666666663,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
31,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.9166666666666667,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
32,low,tight,none,5,4,24,1024,0,0.0,True,0.0,0.0,,0.3333333333333333,informational,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}"
