seq,mean,cvar05,cvar25,distorted_ordered,prob_catastrophic,prob_degraded,prob_shortage,feasible,losses_json,probs_json
check_r1|check_r1|check_r1|check_r1|check_r1,325.0,325.0,325.0,325.0,0.0,1.0,1.0,False,"[325.0, 325.0, 325.0, 325.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|check_r1|check_r2,325.0,325.0,325.0,325.0,0.0,1.0,1.0,False,"[325.0, 325.0, 325.0, 325.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|check_r1|sample_r1,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|check_r1|sample_r2,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[430.0, 70.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|check_r1|move,230.0,230.0,230.0,230.0,0.0,1.0,0.0,False,"[230.0, 230.0, 230.0, 230.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|check_r2|check_r1,325.0,325.0,325.0,325.0,0.0,1.0,1.0,False,"[325.0, 325.0, 325.0, 325.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|check_r2|check_r2,325.0,325.0,325.0,325.0,0.0,1.0,1.0,False,"[325.0, 325.0, 325.0, 325.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|check_r2|sample_r1,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|check_r2|sample_r2,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[430.0, 70.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|check_r2|move,230.0,230.0,230.0,230.0,0.0,1.0,0.0,False,"[230.0, 230.0, 230.0, 230.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|sample_r1|check_r1,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|sample_r1|check_r2,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|sample_r1|sample_r1,567.5,1135.0,1135.0,359.7721542918806,0.5,0.5,0.5,True,"[0.0, 1135.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|sample_r1|sample_r2,371.25,1135.0,1135.0,233.84834796411087,0.25,0.25,0.75,True,"[175.0, 175.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|sample_r1|move,167.5,335.0,335.0,106.18825699363876,0.0,0.5,0.0,True,"[0.0, 335.0, 0.0, 335.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|sample_r2|check_r1,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[430.0, 70.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|sample_r2|check_r2,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[430.0, 70.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|sample_r2|sample_r1,371.25,1135.0,1135.0,233.84834796411087,0.25,0.25,0.75,True,"[175.0, 175.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|sample_r2|sample_r2,567.5,1135.0,1135.0,359.7721542918806,0.5,0.5,0.5,True,"[1135.0, 0.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|sample_r2|move,167.5,335.0,335.0,106.18825699363876,0.0,0.5,0.0,True,"[335.0, 0.0, 0.0, 335.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|move|check_r1,230.0,230.0,230.0,230.0,0.0,1.0,0.0,False,"[230.0, 230.0, 230.0, 230.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|move|check_r2,230.0,230.0,230.0,230.0,0.0,1.0,0.0,False,"[230.0, 230.0, 230.0, 230.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|move|sample_r1,167.5,335.0,335.0,106.18825699363876,0.0,0.5,0.0,True,"[0.0, 335.0, 0.0, 335.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|move|sample_r2,167.5,335.0,335.0,106.18825699363876,0.0,0.5,0.0,True,"[335.0, 0.0, 0.0, 335.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r1|move|move,225.0,225.0,225.0,225.0,0.0,1.0,0.0,False,"[225.0, 225.0, 225.0, 225.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|check_r1|check_r1,325.0,325.0,325.0,325.0,0.0,1.0,1.0,False,"[325.0, 325.0, 325.0, 325.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|check_r1|check_r2,325.0,325.0,325.0,325.0,0.0,1.0,1.0,False,"[325.0, 325.0, 325.0, 325.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|check_r1|sample_r1,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|check_r1|sample_r2,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[430.0, 70.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|check_r1|move,230.0,230.0,230.0,230.0,0.0,1.0,0.0,False,"[230.0, 230.0, 230.0, 230.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|check_r2|check_r1,325.0,325.0,325.0,325.0,0.0,1.0,1.0,False,"[325.0, 325.0, 325.0, 325.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|check_r2|check_r2,325.0,325.0,325.0,325.0,0.0,1.0,1.0,False,"[325.0, 325.0, 325.0, 325.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|check_r2|sample_r1,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|check_r2|sample_r2,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[430.0, 70.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|check_r2|move,230.0,230.0,230.0,230.0,0.0,1.0,0.0,False,"[230.0, 230.0, 230.0, 230.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|sample_r1|check_r1,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|sample_r1|check_r2,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|sample_r1|sample_r1,567.5,1135.0,1135.0,359.7721542918806,0.5,0.5,0.5,True,"[0.0, 1135.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|sample_r1|sample_r2,371.25,1135.0,1135.0,233.84834796411087,0.25,0.25,0.75,True,"[175.0, 175.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|sample_r1|move,167.5,335.0,335.0,106.18825699363876,0.0,0.5,0.0,True,"[0.0, 335.0, 0.0, 335.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|sample_r2|check_r1,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[430.0, 70.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|sample_r2|check_r2,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[430.0, 70.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|sample_r2|sample_r1,371.25,1135.0,1135.0,233.84834796411087,0.25,0.25,0.75,True,"[175.0, 175.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|sample_r2|sample_r2,567.5,1135.0,1135.0,359.7721542918806,0.5,0.5,0.5,True,"[1135.0, 0.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|sample_r2|move,167.5,335.0,335.0,106.18825699363876,0.0,0.5,0.0,True,"[335.0, 0.0, 0.0, 335.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|move|check_r1,230.0,230.0,230.0,230.0,0.0,1.0,0.0,False,"[230.0, 230.0, 230.0, 230.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|move|check_r2,230.0,230.0,230.0,230.0,0.0,1.0,0.0,False,"[230.0, 230.0, 230.0, 230.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|move|sample_r1,167.5,335.0,335.0,106.18825699363876,0.0,0.5,0.0,True,"[0.0, 335.0, 0.0, 335.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|move|sample_r2,167.5,335.0,335.0,106.18825699363876,0.0,0.5,0.0,True,"[335.0, 0.0, 0.0, 335.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2|move|move,225.0,225.0,225.0,225.0,0.0,1.0,0.0,False,"[225.0, 225.0, 225.0, 225.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|sample_r1|check_r1|check_r1,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|sample_r1|check_r1|check_r2,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|sample_r1|check_r1|sample_r1,567.5,1135.0,1135.0,359.7721542918806,0.5,0.5,0.5,True,"[0.0, 1135.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|sample_r1|check_r1|sample_r2,371.25,1135.0,1135.0,233.84834796411087,0.25,0.25,0.75,True,"[175.0, 175.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|sample_r1|check_r1|move,167.5,335.0,335.0,106.18825699363876,0.0,0.5,0.0,True,"[0.0, 335.0, 0.0, 335.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|sample_r1|check_r2|check_r1,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|sample_r1|check_r2|check_r2,250.0,430.0,430.0,184.1127537842088,0.0,0.5,1.0,False,"[70.0, 430.0, 70.0, 430.0]","[0.25, 0.25, 0.25, 0.25]"
