sequence,mean,worst,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,prob_catastrophic,prob_degraded,prob_shortage,viol_catastrophic,viol_degraded,viol_shortage,violation_score,feasible
noop|noop|noop|noop|noop|noop,267.5,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,298.8821682954869,343.3486989810546,384.7093023255814,395.0,0.5,0.5,0.5,0.25,0.0,0.0,500000.0,False
noop|noop|noop|noop|noop|reboot_A,256.0,401.0,401.0,400.99999999999994,401.0,401.0,401.0,401.0,366.0,383.5,286.9994376018644,330.4442061615015,373.4606703146375,387.875,0.5,0.5,0.5,0.25,0.0,0.0,500000.0,False
noop|noop|noop|noop|noop|reboot_B,256.0,401.0,401.0,400.99999999999994,401.0,401.0,401.0,401.0,366.0,383.5,286.9994376018644,330.4442061615015,373.4606703146375,387.875,0.5,0.5,0.5,0.25,0.0,0.0,500000.0,False
noop|noop|noop|noop|noop|reboot_C,256.0,401.0,401.0,400.99999999999994,401.0,401.0,401.0,401.0,366.0,383.5,286.9994376018644,330.4442061615015,373.4606703146375,387.875,0.5,0.5,0.5,0.25,0.0,0.0,500000.0,False
noop|noop|noop|noop|noop|reboot_D,256.0,401.0,401.0,400.99999999999994,401.0,401.0,401.0,401.0,366.0,383.5,286.9994376018644,330.4442061615015,373.4606703146375,387.875,0.5,0.5,0.5,0.25,0.0,0.0,500000.0,False
noop|noop|noop|noop|reboot_A|noop,238.5,401.0,401.0,400.99999999999994,401.0,401.0,401.0,401.0,331.0,366.0,269.1167069082418,311.53971334194836,356.2120383036937,374.75,0.5,0.5,0.5,0.25,0.0,0.0,500000.0,False
noop|noop|noop|noop|reboot_A|reboot_A,244.5,407.0,407.0,407.0,407.0,407.0,407.0,407.0,337.0,372.0,275.1167069082418,317.53971334194847,362.21203830369365,380.75,0.5,0.5,0.5,0.25,0.0,0.0,500000.0,False
noop|noop|noop|noop|reboot_A|reboot_B,223.25,372.0,372.0,372.0,372.0,372.0,372.0,372.0,337.0,354.5,251.64250736727186,291.54529843226624,334.85567715458285,358.875,0.5,0.5,0.25,0.25,0.0,0.0,500000.0,False
noop|noop|noop|noop|reboot_A|reboot_C,223.25,372.0,372.0,372.0,372.0,372.0,372.0,372.0,337.0,354.5,251.64250736727186,291.54529843226624,334.85567715458285,358.875,0.5,0.5,0.25,0.25,0.0,0.0,500000.0,False
noop|noop|noop|noop|reboot_A|reboot_D,223.25,372.0,372.0,372.0,372.0,372.0,372.0,372.0,337.0,354.5,251.64250736727186,291.54529843226624,334.85567715458285,358.875,0.5,0.5,0.25,0.25,0.0,0.0,500000.0,False
noop|noop|noop|noop|reboot_B|noop,238.5,401.0,401.0,400.99999999999994,401.0,401.0,401.0,401.0,331.0,366.0,269.1167069082418,311.53971334194836,356.2120383036937,374.75,0.5,0.5,0.5,0.25,0.0,0.0,500000.0,False
noop|noop|noop|noop|reboot_B|reboot_A,223.25,372.0,372.0,372.0,372.0,372.0,372.0,372.0,337.0,354.5,251.64250736727186,291.54529843226624,334.85567715458285,358.875,0.5,0.5,0.25,0.25,0.0,0.0,500000.0,False
noop|noop|noop|noop|reboot_B|reboot_B,244.5,407.0,407.0,407.0,407.0,407.0,407.0,407.0,337.0,372.0,275.1167069082418,317.53971334194847,362.21203830369365,380.75,0.5,0.5,0.5,0.25,0.0,0.0,500000.0,False
