sequence,mean,worst,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,prob_catastrophic,prob_degraded,prob_shortage,viol_catastrophic,viol_degraded,viol_shortage,violation_score,feasible
noop|noop|noop|noop|noop|noop,450.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,491.8428910606492,551.1315986414063,606.2790697674418,620.0,0.5,1.0,1.0,0.425,0.7,0.7,1830000.0,False
noop|noop|noop|noop|noop|reboot_A,429.75,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,470.8535481225295,527.6267550384202,578.623689010488,591.0,0.5,1.0,0.75,0.425,0.7,0.45,1655000.0,False
noop|noop|noop|noop|noop|reboot_B,429.75,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,470.8535481225295,527.6267550384202,578.623689010488,591.0,0.5,1.0,0.75,0.425,0.7,0.45,1655000.0,False
noop|noop|noop|noop|noop|reboot_C,429.75,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,470.8535481225295,527.6267550384202,578.623689010488,591.0,0.5,1.0,0.75,0.425,0.7,0.45,1655000.0,False
noop|noop|noop|noop|noop|reboot_D,429.75,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,470.8535481225295,527.6267550384202,578.623689010488,591.0,0.5,1.0,0.75,0.425,0.7,0.45,1655000.0,False
noop|noop|noop|noop|reboot_A|noop,403.5,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,443.8642051844097,498.12191143543436,544.9683082535341,556.0,0.5,1.0,0.75,0.425,0.7,0.45,1655000.0,False
noop|noop|noop|noop|reboot_A|reboot_A,409.5,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,449.8642051844097,504.12191143543447,550.968308253534,562.0,0.5,1.0,0.75,0.425,0.7,0.45,1655000.0,False
noop|noop|noop|noop|reboot_A|reboot_B,383.25,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,420.0461916898156,470.71614929592255,516.0361377108984,527.0,0.5,1.0,0.5,0.425,0.7,0.2,1480000.0,False
noop|noop|noop|noop|reboot_A|reboot_C,383.25,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,422.87486224628987,474.6170678324486,517.3129274965801,527.0,0.5,0.75,0.75,0.425,0.45,0.45,1480000.0,False
noop|noop|noop|noop|reboot_A|reboot_D,383.25,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,420.0461916898156,470.71614929592255,516.0361377108984,527.0,0.5,1.0,0.5,0.425,0.7,0.2,1480000.0,False
noop|noop|noop|noop|reboot_B|noop,403.5,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,443.8642051844097,498.12191143543436,544.9683082535341,556.0,0.5,1.0,0.75,0.425,0.7,0.45,1655000.0,False
noop|noop|noop|noop|reboot_B|reboot_A,383.25,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,420.0461916898156,470.71614929592255,516.0361377108984,527.0,0.5,1.0,0.5,0.425,0.7,0.2,1480000.0,False
noop|noop|noop|noop|reboot_B|reboot_B,409.5,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,449.8642051844097,504.12191143543447,550.968308253534,562.0,0.5,1.0,0.75,0.425,0.7,0.45,1655000.0,False
noop|noop|noop|noop|reboot_B|reboot_C,383.25,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,420.0461916898156,470.71614929592255,516.0361377108984,527.0,0.5,1.0,0.5,0.425,0.7,0.2,1480000.0,False
noop|noop|noop|noop|reboot_B|reboot_D,383.25,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,422.87486224628987,474.6170678324486,517.3129274965801,527.0,0.5,0.75,0.75,0.425,0.45,0.45,1480000.0,False
noop|noop|noop|noop|reboot_C|noop,403.5,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,443.8642051844097,498.12191143543436,544.9683082535341,556.0,0.5,1.0,0.75,0.425,0.7,0.45,1655000.0,False
noop|noop|noop|noop|reboot_C|reboot_A,383.25,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,422.87486224628987,474.6170678324486,517.3129274965801,527.0,0.5,0.75,0.75,0.425,0.45,0.45,1480000.0,False
noop|noop|noop|noop|reboot_C|reboot_B,383.25,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,420.0461916898156,470.71614929592255,516.0361377108984,527.0,0.5,1.0,0.5,0.425,0.7,0.2,1480000.0,False
noop|noop|noop|noop|reboot_C|reboot_C,409.5,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,449.8642051844097,504.12191143543447,550.968308253534,562.0,0.5,1.0,0.75,0.425,0.7,0.45,1655000.0,False
noop|noop|noop|noop|reboot_C|reboot_D,383.25,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,420.0461916898156,470.71614929592255,516.0361377108984,527.0,0.5,1.0,0.5,0.425,0.7,0.2,1480000.0,False
noop|noop|noop|noop|reboot_D|noop,403.5,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,443.8642051844097,498.12191143543436,544.9683082535341,556.0,0.5,1.0,0.75,0.425,0.7,0.45,1655000.0,False
noop|noop|noop|noop|reboot_D|reboot_A,383.25,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,420.0461916898156,470.71614929592255,516.0361377108984,527.0,0.5,1.0,0.5,0.425,0.7,0.2,1480000.0,False
noop|noop|noop|noop|reboot_D|reboot_B,383.25,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,422.87486224628987,474.6170678324486,517.3129274965801,527.0,0.5,0.75,0.75,0.425,0.45,0.45,1480000.0,False
noop|noop|noop|noop|reboot_D|reboot_C,383.25,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,420.0461916898156,470.71614929592255,516.0361377108984,527.0,0.5,1.0,0.5,0.425,0.7,0.2,1480000.0,False
noop|noop|noop|noop|reboot_D|reboot_D,409.5,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,449.8642051844097,504.12191143543447,550.968308253534,562.0,0.5,1.0,0.75,0.425,0.7,0.45,1655000.0,False
noop|noop|noop|reboot_A|noop|noop,386.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,429.9720948497329,487.97761020177705,539.9728682170544,556.0,0.5,0.875,1.0,0.425,0.575,0.7,1742500.0,False
noop|noop|noop|reboot_A|noop|reboot_A,357.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,402.03669674427476,459.40061598196263,509.81976744186045,527.0,0.5,0.75,0.75,0.425,0.45,0.45,1480000.0,False
noop|noop|noop|reboot_A|noop|reboot_B,361.375,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,400.89637632437274,454.451732683946,505.86969904240766,527.0,0.5,0.875,0.75,0.425,0.575,0.45,1567500.0,False
noop|noop|noop|reboot_A|noop|reboot_C,357.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,400.68950946601467,457.1748344667572,507.08264933880525,527.0,0.5,0.75,0.75,0.425,0.45,0.45,1480000.0,False
noop|noop|noop|reboot_A|noop|reboot_D,361.375,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,400.89637632437274,454.451732683946,505.86969904240766,527.0,0.5,0.875,0.75,0.425,0.575,0.45,1567500.0,False
noop|noop|noop|reboot_A|reboot_A|noop,357.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,402.03669674427476,459.40061598196263,509.81976744186045,527.0,0.5,0.75,0.75,0.425,0.45,0.45,1480000.0,False
