sequence,mean,worst,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,prob_catastrophic,prob_degraded,prob_shortage,viol_catastrophic,viol_degraded,viol_shortage,violation_score,feasible
noop|noop|noop,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|noop|reboot_A,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|noop|reboot_B,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|noop|reboot_C,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|noop|reboot_D,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_A|noop,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_A|reboot_A,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_A|reboot_B,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_A|reboot_C,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_A|reboot_D,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_B|noop,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_B|reboot_A,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_B|reboot_B,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_B|reboot_C,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_B|reboot_D,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_C|noop,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_C|reboot_A,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_C|reboot_B,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
