sequence,mean,worst,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,prob_catastrophic,prob_degraded,prob_shortage,viol_catastrophic,viol_degraded,viol_shortage,violation_score,feasible
noop|noop|noop,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|noop|reboot_A,186.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,189.4314575050762,195.55184500145032,203.64705882352942,206.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|noop|reboot_B,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|noop|reboot_C,186.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,189.4314575050762,195.55184500145032,203.64705882352942,206.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|noop|reboot_D,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_A|noop,126.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,139.7258300203048,164.20738000580135,196.58823529411765,206.0,0.5,1.0,0.5,0.5,1.0,0.5,2500000.0,False
noop|reboot_A|reboot_A,132.0,212.0,212.0,212.0,212.0,212.00000000000003,212.0,212.00000000000003,212.0,212.0,145.7258300203048,170.20738000580135,202.58823529411765,212.00000000000003,0.5,1.0,0.5,0.5,1.0,0.5,2500000.0,False
noop|reboot_A|reboot_B,132.0,212.0,212.0,212.0,212.0,212.00000000000003,212.0,212.00000000000003,212.0,212.0,145.7258300203048,170.20738000580135,202.58823529411765,212.00000000000003,0.5,1.0,0.5,0.5,1.0,0.5,2500000.0,False
noop|reboot_A|reboot_C,112.0,172.0,172.0,172.0,172.0,171.99999999999997,172.0,171.99999999999997,172.0,172.0,122.29437251522862,140.65553500435104,164.94117647058823,171.99999999999997,0.5,1.0,0.5,0.5,1.0,0.5,2500000.0,False
noop|reboot_A|reboot_D,132.0,212.0,212.0,212.0,212.0,212.00000000000003,212.0,212.00000000000003,212.0,212.0,145.7258300203048,170.20738000580135,202.58823529411765,212.00000000000003,0.5,1.0,0.5,0.5,1.0,0.5,2500000.0,False
noop|reboot_B|noop,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_B|reboot_A,192.0,212.0,212.0,212.0,212.0,212.00000000000003,212.0,212.00000000000003,212.0,212.0,195.4314575050762,201.55184500145035,209.64705882352942,212.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_B|reboot_B,212.0,212.0,212.0,212.0,212.0,212.00000000000003,212.0,212.00000000000003,212.0,212.0,212.0,212.0,212.0,212.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_B|reboot_C,192.0,212.0,212.0,212.0,212.0,212.00000000000003,212.0,212.00000000000003,212.0,212.0,195.4314575050762,201.55184500145035,209.64705882352942,212.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_B|reboot_D,212.0,212.0,212.0,212.0,212.0,212.00000000000003,212.0,212.00000000000003,212.0,212.0,212.0,212.0,212.0,212.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_C|noop,126.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,139.7258300203048,164.20738000580135,196.58823529411765,206.0,0.5,1.0,0.5,0.5,1.0,0.5,2500000.0,False
noop|reboot_C|reboot_A,112.0,172.0,172.0,172.0,172.0,171.99999999999997,172.0,171.99999999999997,172.0,172.0,122.29437251522862,140.65553500435104,164.94117647058823,171.99999999999997,0.5,1.0,0.5,0.5,1.0,0.5,2500000.0,False
noop|reboot_C|reboot_B,132.0,212.0,212.0,212.0,212.0,212.00000000000003,212.0,212.00000000000003,212.0,212.0,145.7258300203048,170.20738000580135,202.58823529411765,212.00000000000003,0.5,1.0,0.5,0.5,1.0,0.5,2500000.0,False
noop|reboot_C|reboot_C,132.0,212.0,212.0,212.0,212.0,212.00000000000003,212.0,212.00000000000003,212.0,212.0,145.7258300203048,170.20738000580135,202.58823529411765,212.00000000000003,0.5,1.0,0.5,0.5,1.0,0.5,2500000.0,False
noop|reboot_C|reboot_D,132.0,212.0,212.0,212.0,212.0,212.00000000000003,212.0,212.00000000000003,212.0,212.0,145.7258300203048,170.20738000580135,202.58823529411765,212.00000000000003,0.5,1.0,0.5,0.5,1.0,0.5,2500000.0,False
noop|reboot_D|noop,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_D|reboot_A,192.0,212.0,212.0,212.0,212.0,212.00000000000003,212.0,212.00000000000003,212.0,212.0,195.4314575050762,201.55184500145035,209.64705882352942,212.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_D|reboot_B,212.0,212.0,212.0,212.0,212.0,212.00000000000003,212.0,212.00000000000003,212.0,212.0,212.0,212.0,212.0,212.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_D|reboot_C,192.0,212.0,212.0,212.0,212.0,212.00000000000003,212.0,212.00000000000003,212.0,212.0,195.4314575050762,201.55184500145035,209.64705882352942,212.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_D|reboot_D,212.0,212.0,212.0,212.0,212.0,212.00000000000003,212.0,212.00000000000003,212.0,212.0,212.0,212.0,212.0,212.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|noop|noop,106.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,123.15728752538101,153.7592250072517,194.23529411764704,206.0,0.5,0.5,0.5,0.5,0.5,0.5,2000000.0,False
reboot_A|noop|reboot_A,112.0,212.0,212.0,212.0,212.0,212.00000000000003,212.0,212.00000000000003,212.0,212.0,129.157287525381,159.7592250072517,200.23529411764707,212.00000000000003,0.5,0.5,0.5,0.5,0.5,0.5,2000000.0,False
reboot_A|noop|reboot_B,112.0,212.0,212.0,212.0,212.0,212.00000000000003,212.0,212.00000000000003,212.0,212.0,129.157287525381,159.7592250072517,200.23529411764707,212.00000000000003,0.5,0.5,0.5,0.5,0.5,0.5,2000000.0,False
reboot_A|noop|reboot_C,92.0,172.0,172.0,172.0,172.0,171.99999999999997,172.0,171.99999999999997,172.0,172.0,105.72583002030481,130.20738000580138,162.58823529411765,171.99999999999997,0.5,0.5,0.5,0.5,0.5,0.5,2000000.0,False
reboot_A|noop|reboot_D,112.0,212.0,212.0,212.0,212.0,212.00000000000003,212.0,212.00000000000003,212.0,212.0,129.157287525381,159.7592250072517,200.23529411764707,212.00000000000003,0.5,0.5,0.5,0.5,0.5,0.5,2000000.0,False
reboot_A|reboot_A|noop,112.0,212.0,212.0,212.0,212.0,212.00000000000003,212.0,212.00000000000003,212.0,212.0,129.157287525381,159.7592250072517,200.23529411764707,212.00000000000003,0.5,0.5,0.5,0.5,0.5,0.5,2000000.0,False
reboot_A|reboot_A|reboot_A,118.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,135.157287525381,165.7592250072517,206.23529411764707,218.0,0.5,0.5,0.5,0.5,0.5,0.5,2000000.0,False
reboot_A|reboot_A|reboot_B,118.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,135.157287525381,165.7592250072517,206.23529411764707,218.0,0.5,0.5,0.5,0.5,0.5,0.5,2000000.0,False
reboot_A|reboot_A|reboot_C,98.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,111.72583002030481,136.20738000580138,168.58823529411765,178.0,0.5,0.5,0.5,0.5,0.5,0.5,2000000.0,False
reboot_A|reboot_A|reboot_D,118.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,135.157287525381,165.7592250072517,206.23529411764707,218.0,0.5,0.5,0.5,0.5,0.5,0.5,2000000.0,False
reboot_A|reboot_B|noop,112.0,212.0,212.0,212.0,212.0,212.00000000000003,212.0,212.00000000000003,212.0,212.0,129.157287525381,159.7592250072517,200.23529411764707,212.00000000000003,0.5,0.5,0.5,0.5,0.5,0.5,2000000.0,False
reboot_A|reboot_B|reboot_A,118.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,135.157287525381,165.7592250072517,206.23529411764707,218.0,0.5,0.5,0.5,0.5,0.5,0.5,2000000.0,False
reboot_A|reboot_B|reboot_B,118.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,135.157287525381,165.7592250072517,206.23529411764707,218.0,0.5,0.5,0.5,0.5,0.5,0.5,2000000.0,False
reboot_A|reboot_B|reboot_C,98.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,111.72583002030481,136.20738000580138,168.58823529411765,178.0,0.5,0.5,0.5,0.5,0.5,0.5,2000000.0,False
reboot_A|reboot_B|reboot_D,118.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,135.157287525381,165.7592250072517,206.23529411764707,218.0,0.5,0.5,0.5,0.5,0.5,0.5,2000000.0,False
reboot_A|reboot_C|noop,32.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,35.4314575050762,41.55184500145034,49.647058823529406,52.0,0.0,0.5,0.0,0.0,0.5,0.0,500000.0,False
reboot_A|reboot_C|reboot_A,38.0,58.0,58.0,57.99999999999999,58.0,58.00000000000001,58.0,58.00000000000001,58.0,58.0,41.4314575050762,47.551845001450346,55.64705882352941,58.00000000000001,0.0,0.5,0.0,0.0,0.5,0.0,500000.0,False
