seq,mean,cvar05,cvar25,distorted_ordered,prob_catastrophic,prob_degraded,feasible,losses_json,probs_json
listen|listen,1120.0,1120.0,1120.0,1120.0,1.0,1.0,False,"[1120.0, 1120.0]","[0.5, 0.5]"
listen|open_left,1100.0,1100.0,1100.0,1100.0,1.0,1.0,False,"[1100.0, 1100.0]","[0.5, 0.5]"
listen|open_right,1100.0,1100.0,1100.0,1100.0,1.0,1.0,False,"[1100.0, 1100.0]","[0.5, 0.5]"
listen|wait,1120.0,1120.0,1120.0,1120.0,1.0,1.0,False,"[1120.0, 1120.0]","[0.5, 0.5]"
open_left|listen,1100.0,1100.0,1100.0,1100.0,1.0,1.0,False,"[1100.0, 1100.0]","[0.5, 0.5]"
open_left|open_left,1040.0,1080.0,1080.0,1025.358389729824,1.0,0.5,False,"[1080.0, 1000.0]","[0.5, 0.5]"
open_left|open_right,1000.0,1000.0,1000.0,1000.0,1.0,0.0,False,"[1000.0, 1000.0]","[0.5, 0.5]"
open_left|wait,1100.0,1100.0,1100.0,1100.0,1.0,1.0,False,"[1100.0, 1100.0]","[0.5, 0.5]"
open_right|listen,1100.0,1100.0,1100.0,1100.0,1.0,1.0,False,"[1100.0, 1100.0]","[0.5, 0.5]"
open_right|open_left,1000.0,1000.0,1000.0,1000.0,1.0,0.0,False,"[1000.0, 1000.0]","[0.5, 0.5]"
open_right|open_right,1040.0,1080.0,1080.0,1025.358389729824,1.0,0.5,False,"[1000.0, 1080.0]","[0.5, 0.5]"
open_right|wait,1100.0,1100.0,1100.0,1100.0,1.0,1.0,False,"[1100.0, 1100.0]","[0.5, 0.5]"
wait|listen,1120.0,1120.0,1120.0,1120.0,1.0,1.0,False,"[1120.0, 1120.0]","[0.5, 0.5]"
wait|open_left,1100.0,1100.0,1100.0,1100.0,1.0,1.0,False,"[1100.0, 1100.0]","[0.5, 0.5]"
wait|open_right,1100.0,1100.0,1100.0,1100.0,1.0,1.0,False,"[1100.0, 1100.0]","[0.5, 0.5]"
wait|wait,1120.0,1120.0,1120.0,1120.0,1.0,1.0,False,"[1120.0, 1120.0]","[0.5, 0.5]"
