seq,mean,cvar05,cvar25,distorted_ordered,prob_catastrophic,prob_degraded,feasible,losses_json,probs_json
listen|listen,120.0,120.0,120.0,120.0,0.0,1.0,False,"[120.0, 120.0]","[0.5, 0.5]"
listen|open_left,550.0,1100.0,1100.0,348.6778587850825,0.5,1.0,False,"[1100.0, 0.0]","[0.5, 0.5]"
listen|open_right,550.0,1100.0,1100.0,348.6778587850825,0.5,1.0,False,"[0.0, 1100.0]","[0.5, 0.5]"
listen|wait,120.0,120.0,120.0,120.0,0.0,1.0,False,"[120.0, 120.0]","[0.5, 0.5]"
open_left|listen,550.0,1100.0,1100.0,348.6778587850825,0.5,1.0,False,"[1100.0, 0.0]","[0.5, 0.5]"
open_left|open_left,540.0,1080.0,1080.0,342.33826135262643,0.5,0.5,False,"[1080.0, 0.0]","[0.5, 0.5]"
open_left|open_right,1000.0,1000.0,1000.0,1000.0,1.0,0.0,False,"[1000.0, 1000.0]","[0.5, 0.5]"
open_left|wait,550.0,1100.0,1100.0,348.6778587850825,0.5,1.0,False,"[1100.0, 0.0]","[0.5, 0.5]"
open_right|listen,550.0,1100.0,1100.0,348.6778587850825,0.5,1.0,False,"[0.0, 1100.0]","[0.5, 0.5]"
open_right|open_left,1000.0,1000.0,1000.0,1000.0,1.0,0.0,False,"[1000.0, 1000.0]","[0.5, 0.5]"
open_right|open_right,540.0,1080.0,1080.0,342.33826135262643,0.5,0.5,False,"[0.0, 1080.0]","[0.5, 0.5]"
open_right|wait,550.0,1100.0,1100.0,348.6778587850825,0.5,1.0,False,"[0.0, 1100.0]","[0.5, 0.5]"
wait|listen,120.0,120.0,120.0,120.0,0.0,1.0,False,"[120.0, 120.0]","[0.5, 0.5]"
wait|open_left,550.0,1100.0,1100.0,348.6778587850825,0.5,1.0,False,"[1100.0, 0.0]","[0.5, 0.5]"
wait|open_right,550.0,1100.0,1100.0,348.6778587850825,0.5,1.0,False,"[0.0, 1100.0]","[0.5, 0.5]"
wait|wait,120.0,120.0,120.0,120.0,0.0,1.0,False,"[120.0, 120.0]","[0.5, 0.5]"
